"#name","Урыс-адыгэ школ псалъалъэ (Rus-Ady) (eastern)"
"#sourceLang","Russian"
"агрессия","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I агрессие, теуэныгъэ, зэрыпхъуэныгъэ; <b>совершить агрессию</b> зэрыпхъуэн мурадкIэ теуэныгъэ щIын</div>"
"агрессор","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II агрессор, зэрыпхъуакIуэ</div>"
"агроном","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II агроном; <b>колхозный агроном</b> колхоз агроном</div>"
"агрономия","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I агрономие, мэкъумэш Iуэхур зыдж щIэныгъэ</div>"
"агротехника","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> агротехникэ, мэкъумэшым пыщIа техника</div>"
"ад","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> жыхьэнэмэ</div>"
"адвокат","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II уэчыл</div>"
"аджарцы","<div style=""margin-left:1em""><i class=""p""><font color=""green"">мн.</font></i> (<i class=""p""><font color=""green"">ед.</font></i> аджарец, <i class=""p""><font color=""green"">м.</font></i> II, аджарка, <i class=""p""><font color=""green"">ж.</font></i> I) аджар цIыху</div>"
"администратор","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II администратор, къулыкъу зи пщэ дэлъ</div>"
"администрация","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> администрацие, унафэ гуэрхэр къызыбгъэдэкI</div>"
"адрес","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II хэщIапIэ, адрес; <b>домашний адрес</b> унэм и адрес; <b>точный адрес</b> хэщIапIэ тэмэм</div>"
"адский","<div style=""margin-left:1em""><i>-ая, -ое</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> жыхьэнэмэ, жыхьэнэмэм хуэдэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i class=""p""><font color=""green"">перен.</font></i> (<i class=""p""><font color=""green"">разг.</font></i>) Iей, егъэлея; <b>адская жара</b> хуабэ Iей</div>"
"азарт","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> егъэлеяуэ дихьэхыныгъэ; <b>работать с азартом</b> дихьэхауэ лэжьэн; <b>войти в азарт</b> зыгуэрым дихьэхын</div>"
"азартный","<div style=""margin-left:1em""><i>-ая, -ое</i> егъэлеяуэ дэзыхьэх; <b>азартная игра</b> егъэлеяуэ дэзыхьэх джэгукIэ</div>"
"азбука","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I азбукэ, алфавит; <b>русская азбука</b> урыс азбукэ</div>"
"аист","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II аист, къуалэбзу лъакъуэкIыхь пIащэ</div>"
"ай","<div style=""margin-left:1em""><i class=""p""><font color=""green"">межд.</font></i> ай, уай</div>"
"айва","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> хьэиуэ</div>"
"айсберг","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II айсберг (хым есу хэлъ мыл абрагъуэ)</div>"
"академия","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I академие; <b>академия наук</b> щIэныгъэхэмкIэ академие</div>"
"акация","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I кIарц</div>"
"акварель","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> III акварель</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> псыкIэ зэхэщIа краскэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> псыкIэ зэхэщIа краскэкIэ ящIа сурэт</div>"
"акклиматизация","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> акклиматизацэ, щIыпIэр езэгъ хъуныгъэ</div>"
"аккомпанемент","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> дежьуу-ныгъэ; <b>петь под аккомпанемент рояля</b> роялкIэ дежьууэ уэрэд жыIэн</div>"
"аккордеон","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II аккордеон, пшынэ</div>"
"аккордеонист","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II аккордеоным еуэ, пшынауэ</div>"
"аккуратно","<div style=""margin-left:1em""><i class=""p""><font color=""green"">нареч.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> IэкIуэлъакIуэу (зэпэщу); <b>он все делает аккуратно</b> абы псори IэкIуэлъакIуэу ещIэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> зэблэмыуу; <b>нам аккуратно доставляют газету</b> дэ газетыр зэблэмыуу къытхуахь</div>"
"аккуратность","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> III, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> зэщIэкъуауэ щытыныгъэ, егугъуныгъэ; <b>в любом деле должна быть аккуратность</b> дэтхэнэ зы Iуэхуми егугъуныгъэр хэлъын хуейщ</div>"
"аккуратный","<div style=""margin-left:1em""><i>-ая, -ое</i> зэщIэкъуа, зэкIэлъыкIуэ; <b>аккуратный человек</b> цIыху зэщIэкъуа, <b>аккуратная работа</b> лэжьыгъэ зэкIэлъыкIуэ</div>"
"акробат","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II акробат, циркым щылажьэ артист</div>"
"аксиома","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I аксиомэ (зэхэгъэкIа хьэзыру наукэм къилъытэ)</div>"
"акт","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II, <i class=""p""><font color=""green"">в разн. знач.</font></i> <b>акт на вечное пользование землей</b> щIыр игъащIэкIэ къэгъэсэбэпынымкIэ акт; <b>обвинительный акт</b> зэрагъэкъуаншэ акт; <b>составить акт акт</b> щIын</div>"
"активист","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II, активист, Iуэхум жыджэру хэт</div>"
"активность","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> III, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> жыджэрыгъэ</div>"
"активный","<div style=""margin-left:1em""><i>-ая, -ое</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> жыджэр, хьэрхуэрыгъэ зыхэлъ; <b>активный член кружка</b> кружокым жыджэру хэт</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> активнэ; <b>активный процесс</b> активнэ процесс</div>"
"актуальный","<div style=""margin-left:1em""><i>-ая, -ое</i> зэман хэхам дежкIэ мыхьэнэшхуэ зиIэ; <b>актуальная тема</b> зэманым дежкIэ мыхьэнэшхуэ зиIэ темэ</div>"
"акцент","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II акцент, псэлъэкIэм дерт иIэн; <b>говорить с акцентом</b> дерт иIэу псэлъэн ; <b>сделать акцент на чем-л.</b> зыгуэрым тегъэчыныхьын, акцент хуэщIын</div>"
"алеть","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">несов.</font></i>, <i class=""p""><font color=""green"">тк.</font></i> <i>3</i> <i class=""p""><font color=""green"">л.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> плъыжь хъун, плъыжьыгъэ къыщIыхьэн; <b>небо начало алеть</b> уафэр плъыжь хъууэ хуежьащ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> къыхэплъыжьыкIын, плъыжьу къэлъэгъуэн; <b>вдали алеют маки</b> Iущхьэхэр жыжьэу къыхоплъыжьыкI (плъыжьу къолъагъуэ)</div>"
"аллегория","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I (<i class=""p""><font color=""green"">лит.</font></i>) аллегорие, зэхьэкIауэ къэпсэлъыныгъэ</div>"
"аллея","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I аллей (зи бгъунтIымкIи жыг егъэкIэкIа гъуэгу, лъэс лъагъуэ); <b>липовая аллея</b> бзиху зэгъэкIэкIа аллей</div>"
"алмаз","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II налмэс</div>"
"алфавит","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II алфавит; <b>черкесский (адыгский) алфавит</b> адыгэ алфавит</div>"
"алфавитный","<div style=""margin-left:1em""><i>-ая, -ое</i> алфавит; <b>алфавитный порядок</b> алфавит зэкIэлъыкIуэкIэ</div>"
"алчность","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> III, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> нэпсеигъэ, Iудырыгъэ</div>"
"алчный","<div style=""margin-left:1em""><i>-ая, -ое</i> нэпсей, быдэ; <b>алчный человек</b> цIыху нэпсей</div>"
"алый","<div style=""margin-left:1em""><i>-ая, -ое</i> плъыжьыбзэ, плъыжь; <b>алые знамена</b> нып плъыжьхэр; <b>алые цветы</b> удз плъыжьхэр</div>"
"алыча","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> пхъэгулъ альманах, <i class=""p""><font color=""green"">м.</font></i> II альманах (тхакIуэ щхьэхуэхэм я тхыгъэ зэрыт сборник); <b>литературный альманах</b> литературнэ альманах</div>"
"альпинистский","<div style=""margin-left:1em""><i>-ая, -ое</i> альпинист, <b>альпинистский лагерь</b> альпинист лагерь</div>"
"альчик","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II кIэн; <b>играть в альчики</b> кIэн джэгун</div>"
"алюминиевый","<div style=""margin-left:1em""><i>-ая, -ое</i> алюмин; <b>алюминиевая посуда</b> алюмин хьэкъущыкъу</div>"
"алюминий","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> (<i class=""p""><font color=""green"">хим.</font></i>) алюмин</div>"
"амбар","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II амбар</div>"
"амбулатория","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I амбулаторие</div>"
"американский","<div style=""margin-left:1em""><i>-ая, -ое</i> американскэ; <b>американский ученый</b> американскэ щIэныгъэлI</div>"
"американцы","<div style=""margin-left:1em""><i class=""p""><font color=""green"">мн.</font></i> (<i class=""p""><font color=""green"">ед.</font></i> <i class=""p""><font color=""green"">ч.</font></i> американец, <i class=""p""><font color=""green"">м.</font></i> II; американка, <i class=""p""><font color=""green"">ж.</font></i> I) американец, Америкам щыпсэу цIыху</div>"
"аммиак","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> (<i class=""p""><font color=""green"">хим.</font></i>) аммиак</div>"
"амнистия","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I амнистие, суд зытращIыхьам и къуаншагъэр къызэрыхуагъэгъумкIэ къыдэкIа къэрал унафэ</div>"
"анализ","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> зэпкърыхыныгъэ; <b>анализ художественного произведения</b> художественнэ тхыгъэр зэпкърыхыныгъэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> анализ</div>"
"анализировать","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i> и <i><i class=""p""><font color=""green"">несов.</font></i>, что</i> зэпкърыхын; <b>анализировать- литературное произведение</b> литературнэ тхыгъэр зэпкърыхын</div>"
"аналитический","<div style=""margin-left:1em""><i>-ая, -ое</i> аналитическэ</div>"
"аналогичный","<div style=""margin-left:1em""><i>-ая, -ое</i> ещхь, хуэдэ; <b>аналогичный случай</b> ещхь Iуэхугъуэ; <b>аналогичное решение</b> унафэм хуэдэ</div>"
"анатомический","<div style=""margin-left:1em""><i>-ая, -ое</i> анатомическэ, анатомнем ехьэлIа; <b>анатомический атлас</b> анатомическэ атлас</div>"
"анатомия","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> анатомие</div>"
"ангина","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I ангина, тэмакъыдзэ</div>"
"английский","<div style=""margin-left:1em""><i>-ая, -ое</i> английскэ: <b>английский язык</b> инджылыбзэ</div>"
"англичане","<div style=""margin-left:1em""><i class=""p""><font color=""green"">мн.</font></i>, <i class=""p""><font color=""green"">род.</font></i> англичан (<i class=""p""><font color=""green"">ед.</font></i> <i class=""p""><font color=""green"">ч.</font></i> англичанин, <i class=""p""><font color=""green"">м.</font></i> II, англичанка, <i class=""p""><font color=""green"">ж.</font></i> I) англичанин; Англией щыпсэу цIыху</div>"
"анекдот","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II анекдот, гушыIэ, ауан зыхэлъ шыпеэ; <b>рассказать анекдот</b> анекдот жыIэн</div>"
"анкета","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I анкетэ; <b>заполнить анкету</b> анкетэм итхэн</div>"
"анод","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II (<i class=""p""><font color=""green"">физ.</font></i>) анод</div>"
"анонимный","<div style=""margin-left:1em""><i>-ая, -ое</i> зытхар, къызыбгъэдэкIыр бзыщIа; <b>анонимное письмо</b> зытхар бзыщIа письмо</div>"
"ансамбль","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II <i class=""p""><font color=""green"">в разн. знач.</font></i> ансамбль; <b>ансамбль песни и пляски</b> уэрэдымрэ къафэмкIэ ансамбль; <b>архитектурный ансамбль</b> архитектурнэ ансамбль</div>"
"антагонизм","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> антагонизм (зэкIурабгъу зимыIэ зэныкъуэкъуныгъэ); <b>классовый антагонизм</b> классовэ антагонизм</div>"
"антагонист","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> ныкъуэкъуэгъу, бий</div>"
"антагонистический","<div style=""margin-left:1em""><i>-ая, -ое</i> антагонистическэ; <b>антагонистические противоречия</b> антагонистическэ зэгурымыIуэныгъэхэр</div>"
"антивоенный","<div style=""margin-left:1em""><i>-ая, -ое</i> зауэм и бий, зауэ хуэмей; <b>антивоенные выступления</b> зауэм и бийуэ зыкъэIэтыныгъэ</div>"
"антилопа","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I антилоп</div>"
"антипатия","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> мыгурыхь, мыгуакIуэ</div>"
"антирелигиозный","<div style=""margin-left:1em""><i>-ая, -ое</i> диныр зы-мыдэ, диным и бий; <b>антирелигиозная пропаганда</b> диным и бий пропагандэ</div>"
"антисанитарный","<div style=""margin-left:1em""><i>-ая, -ое</i> антисанитарна, санитарией и хабзэм къемызэгъ, фIей</div>"
"антифашист","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II антифашист (фащизмэм и бий бэнакIуэ)</div>"
"античный","<div style=""margin-left:1em""><i>-ая, -ое</i> антнчнэ (ижь зэманым щыгъуэ грекхэмрэ римлянхэмрэ я хабзэ, тхыдэ ехьэлIа, епха); <b>античное искусство</b> античнэ искусства</div>"
"антология","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I (<i class=""p""><font color=""green"">лит.</font></i>) антологие (автор зыбжанэм я тхыгъэ нэхъыфIхэр зэрыт сборник) <b>антология советской поэзии</b> советскэ поэзием и антологие</div>"
"антоним","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II (<i class=""p""><font color=""green"">лит.</font></i>) антоним (зи мыхьэнэкIэ зэпэщIэуэ псалъэ (псалъэм папщIэ: ин-цIыкIу)</div>"
