w_bigram,freq
цIыху цIыкIум,20
Апхуэдэу щытми,20
урыс пащтыхьым,20
ЩIалэ цIыкIур,20
Мис апхуэдэ,20
къуажэм къыщалъхуащ,20
къызэралъхурэ илъэси,20
абы щыгъуэми,20
Сыту жыпIэмэ,20
абы щыгъуэм,20
къэбэрдей литературэм,20
дэнэ щыIэ,20
нэхъ тыншу,20
Хэку зауэшхуэр,20
щхьэр лъагэу,20
гур нэхъ,20
Iэджэ щIауэ,20
Совет Союзым,20
щыхьэт зэрытехъуэмкIэ,20
КъардэнгъущI Зырамыку,19
хамэ къэралхэм,19
щIагъуэ щымыIэу,19
драмэ театрым,19
Iэмал иIэтэкъым,19
СэмэгумкIэ къыщыщIэдзауэ,19
илъэси 100,19
хъуа нэужь,19
Уэрэ сэрэ,19
Махуэ гуэрым,19
ПащIэ Бэчмырзэ,19
нэху щыху,19
Къэжэр Хьэмид,19
илъэс 75-рэ,19
щIалэ цIыкIухэр,19
Нэгумэ Шорэ,19
Iуэху еплъыкIэ,18
Бицу Анатолэ,18
дыдэм деж,18
сытым щыгъуи,18
гъэ дыдэм,18
шэч лъэпкъ,18
гугъу пщIыр,18
дунейм теткъым,18
къызыхэкIа лъэпкъым,18
щхьэр ищIащ,18
нэхъ куууэ,18
Япэ щIыкIэ,18
игу къегъэкIыж,18
хуэм дыдэу,18
къудей мыхъуу,18
Ленин гъуэгу,18
Абы щыгъуэм,18
псэм хуэдэ,18
гугъу ищIыр,17
щыгъуи хуэдэу,17
псынщIэ дыдэу,17
щыхьэт техъуэ,17
Москва дэт,17
Сокъур Мусэрбий,17
Адыгэ лъэпкъым,17
Журналым къытехуа,17
Подписная цена,17
Иджы абы,17
Къагъырмэс Борис,17
нэхъ гъунэгъу,17
Кавказ зауэм,17
илъэс тIощIрэ,17
ауэ абыхэм,17
1941 гъэм,17
Сыт абы,17
адэ къуэшым,17
етIуанэ махуэм,17
шхын щхьэкIэ,17
щыIэ уэрам,17
Мис аращ,17
нэхъ гугъу,16
дунейм тет,16
Iуэху еплъыкIэхэр,16
1942 гъэм,16
Бещтокъуэ Хьэбас,16
апхуэдэ дыдэу,16
щэху дыдэу,16
гугъу тщIа,16
кIэщIым къриубыдэу,16
сытым хуэдэу,16
Гъут Iэдэм,16
Мыкъуэжь Анатолэ,16
лъэ быдэкIэ,16
нэхърэ нэхъыфIу,16
шэч къытесхьэркъым,16
псалъэ гуапэ,16
1943 гъэм,16
гугъу сщIыр,16
редактор нэхъыщхьэу,16
сыт хуэдизкIэ,15
илъэс мин,15
Тхьэм жиIэ,15
цIэр фIыкIэ,15
жагъуэ умыщI,15
мыхьэнэшхуэ зиIэ,15
жысIащ сигукIэ,15
Псом хуэмыдэжу,15
Шэч хэмылъу,15
Псалъэм къыдэкIуэу,15
Апхуэдэ щIыкIэкIэ,15
илъэс 85-рэ,15
щэнхабзэмкIэ щIыхь,15
куэд мыщIэу,15
щхьэ закъуэ,15
куэд щIащ,15
нэхъ дахэ,15
Мэзыхьэ Борис,15
Нало Ахьмэдхъан,15
пщIэ лей,15
япэ иту,15
Ауэ абыхэм,15
щIэх дыдэ,15
щыпсэу лъэпкъхэм,14
куэд мэхъу,14
тхакIуэ цIэрыIуэ,14
Къэбэрдей къэрал,14
Сэхъурокъуэ Хьэутий,14
нэхъ лъагэ,14
арэзы къыпхухъу,14
адыгэ усыгъэм,14
дэтхэнэ зыри,14
Шэч хэлъкъым,14
Кулиев Къайсын,14
КхъуэIуфэ Хьэчим,14
ауэ сыт,14
Абыхэм ящыщу,14
1957 гъэм,14
икIи нэхъ,14
жыг хадэм,14
100 ирокъу,14
ЩIалэ цIыкIум,14
макъ къэIуащ,14
иужьрей илъэсхэм,14
зыхь секретарь,14
Ахэр псори,14
Абы къыхэкIыуи,14
нэгъуэщI лъэпкъхэм,14
Абы щыхьэт,14
деж кIуащ,14
Махуэ къэс,14
игъащIэ лъандэрэ,14
иужь дыдэу,14
арэзы хъуащ,14
1945 гъэм,14
гугъу тщIыр,14
жеIэ абы,14
фIэщ щIы,14
75-рэ ирокъу,14
къэрал драмэ,14
Къэрмокъуэ Мухьэмэд,13
Налшык дэт,13
цIэр зэрихьэу,13
жиIащ лIыжьым,13
Гуманитар къэхутэныгъэхэмкIэ,13
щрикъум ирихьэлIэу,13
зыми зыри,13
нэгъуэщI лъэпкъ,13
хуэдэ Iуэхуми,13
нэхъ лъэщ,13
Iэмал зэриIэкIэ,13
мыхьэнэшхуэ иIэщ,13
Хэт ищIэн,13
Уэрэзей Афлик,13
лъэпкъ тхыдэм,13
Iуэху лъэпкъ,13
Адыгэ Республикэм,13
нэхъыфI дыдэу,13
жэуап къитащ,13
Абы нэхъ,13
тенджыз Iуфэм,13
адыгэбзэмрэ литературэмкIэ,13
Абы къыхэкIкIэ,13
жэщи махуи,13
Совет Нэхъыщхьэм,13
дзэм къулыкъу,13
Апхуэдэу щыщыткIэ,13
деж щыт,13
лъабжьэ хуэхъуар,13
лирикэ лIыхъужьым,13
щхьэр ещI,13
хъун папщIэ,13
мис иджы,13
Куэд мыщIэу,13
Апхуэдэу щыхъум,13
пьесэм къытращIыкIа,13
лIыжь цIыкIум,13
мащIэ дыдэщ,13
зэман кIэщIым,13
зезыхьэ Къэбэрдей,13
лъэпкъ литературэр,13
сигу къэкIыжащ,13
нэгъуэщI щIыпIэ,12
гъэм абы,12
дуней еплъыкIэ,12
МафIэдз Сэрэбий,12
ХьэIупщы МуIэед,12
Сыт хуэдэу,12
районым хыхьэ,12
Гъубжокъуэ Лиуан,12
нарт эпосым,12
нэхърэ куэдкIэ,12
дзапэ уэрэд,12
къалэнхэр зыгъэзащIэ,12
адэжь щIыналъэм,12
къэрал щыпсэу,12
Махуэ псом,12
фIэкIа нэгъуэщI,12
сыт абы,12
псэ тIэкIу,12
унэ лъэгум,12
сыт хуэдизу,12
абы шэч,12
абы къикIыр,12
джэ макъ,12
абы фIэкIа,12
Тхьэразэ къыпхухъу,12
Псом япэу,12
цIыху мин,12
нэгъуэщI зыгуэр,12
мэз лъапэм,12
адыгэ щIалэм,12
Къэшэж Иннэ,12
дауэ уеплърэ,12
85-рэ ирокъу,12
зауэ гуащIэм,12
дуней тетыкIэм,12
лъэпкъ культурэм,12
лирическэ лIыхъужьыр,12
щIэныгъэ нэхъыщхьэ,12
дэкIа нэужь,12
тхыгъэ куэд,12
щыт пэтми,12
Къардэн Бубэ,12
Псыжь адрыщI,12
дыдэхэм ящыщ,12
пщыхьэщхьэ гуэрым,12
1917 гъэм,12
жэуап итащ,11
адыгэбзэмрэ литературэмрэ,11
зезыхьэ уэрам,11
1939 гъэм,11
фIэщ мыхъуу,11
курыт еджапIэм,11
Сыт иджы,11
тхьэм ещIэ,11
гъэм январым,11
сыткIэ щхьэпэ,11
хуей хъумэ,11
къулыкъу щищIащ,11
абыхэм ящыщу,11
1958 гъэм,11
Ягъэ кIынкъым,11
Iуфэм Iут,11
пщы уэлий,11
дуней гуфIэгъуэр,11
щIыкIэм тету,11
Абы нэхърэ,11
нэр къихуу,11
Iэмал зимыIэщ,11
иужьрей зэманым,11
абы щыхьэт,11
къэрал куэдым,11
къудейм къыщымынэу,11
Iуэху зытетыр,11
тхьэ соIуэ,11
Къамботрэ Лацэрэ,11
1918 гъэм,11
щхьэ Iуэху,11
Романым щыщ,11
гулъытэ хэха,11
щIыпIэ куэдым,11
Адыгэ хэхэс,11
ауэ щыхъукIи,11
зауэ нэужь,11
псы Iуфэ,11
Хэту пIэрэ,11
адыгэ литературэр,11
Журт Биберд,11
Акъсырэ Залымхъан,11
Апхуэдэхэм деж,11
Кабардино-Балкарской Республики,11
къуэ закъуэр,11
лъэпкъ хэмылъу,11
цIыху куэд,11
лъэ макъ,11
МэшбащIэ Исхьэкъ,11
игъуэ нэмысу,11
хэхэс литературэ,10
гъащIэ псом,10
Пэжыр жысIэнщи,10
Ацкъан Руслан,10
Урыс-Кавказ зауэм,10
щыщ адыгэ,10
Iуэхур нэхъ,10
жиIэу аращ,10
Гъуэгу махуэ,10
Дауэ ущыт,10
адыгэ тхыдэм,10
пщэдджыжь гуэрым,10
пасэрей адыгэхэм,10
усэ тхылъ,10
нэгъуэщI куэди,10
Бахъсэн районым,10
гъунэгъу дыдэу,10
кърым хъаным,10
къэкI удз,10
цIыху гъащIэм,10
гур фIы,10
хэхэс адыгэхэм,10
Аращ абы,10
унафэ ещI,10
иджыри къыздэсым,10
псом япэрауэ,10
Абы къикIыр,10
нарт хъыбархэм,10
Къэбэрдей Адыгэ,10
япэ Iыхьэм,10
муслъымэн диным,10
апхуэдэ Iуэху,10
псом хуэмыдэжу,10
ХIХ лIэщIыгъуэм,10
нэгъуэщI Iуэху,10
тIэкIу нэхъ,10
нэхъ иужьыIуэкIэ,10
жиIэрт абы,10
адыгэ лъэпкъхэм,10
филологие щIэныгъэхэмкIэ,10
шыпхъу цIыкIу,10
Южный регион,10
1991 гъэм,10
Ауэ псом,10
Сытым хуэдэу,10
зэманым къриубыдэу,10
зыми ищIэркъым,10
Мис апхуэдэу,10
жиIащ щIалэм,10
нэгъуэщI къэралхэм,10
Адыгэ псалъэм,10
пасэрей адыгэ,10
НэщIэпыджэ Замирэ,10
тхылъ щхьэхуэу,10
фIыуэ щыгъуазэ,10
газетхэмрэ журналхэмрэ,10
псалъэ дахэ,10
гъэм къыщалъхуащ,10
дежкIэ мыхьэнэшхуэ,10
Тхьэм жиIэмэ,10
ужьым иту,10
дахэ дыдэу,9
щIалэ цIыкIухэм,9
щIы щIагъым,9
Тхыдэр щыхьэт,9
Бемырзэ Мухьэдин,9
хъуауэ щытащ,9
тырку сулътIаным,9
лъэпкъым дежкIэ,9
щIэныгъэ-къэхутакIуэ институтым,9
адыгэ тхакIуэ,9
нэхъ лейуэ,9
абы къыхэкIкIэ,9
лажьэр сыт,9
абы фIыуэ,9
цIыкIу гуэрым,9
Къэрал саугъэтым,9
дунейпсо литературэм,9
сыт хуэдизрэ,9
псалъэм пищащ,9
къыдэкIуэу жыпIэмэ,9
адыгэ лъэпкъ,9
гукIи псэкIи,9
анэм деж,9
Дунейм теткъым,9
лажьэ зимыIэ,9
щхьэр игъэкIэрэхъуащ,9
игу къэкIащ,9
ящыщ куэд,9
адыгэ театрым,9
абы къыхэкIыуи,9
ГъэзэщIакIуэ гупым,9
пIэрэ абы,9
езы усакIуэм,9
1940 гъэм,9
ПцIыр сыткIэ,9
1944 гъэм,9
1934 гъэм,9
зэхэлъ псалъэзэблэдз,9
нэхъ ину,9
дуней тетыкIэр,9
езым нэхърэ,9
нэгъуэщI зыгуэру,9
Къэзанокъуэ Жэбагъы,9
еджапIэ нэхъыщхьэхэм,9
дунейпсо зауэм,9
илъэс къэс,9
тэмэму жыпIэмэ,9
Къэбэрдей литературэм,9
нэхъ къищтэу,9
жыг щIагъым,9
фIыуэ узолъагъу,9
лIыжь цIыкIур,9
Адыгэ литературэм,9
Кавказ зауэр,9
гъуэгу махуэ,9
къуажэ цIыкIум,9
БакIуу Хъанджэрий,9
псом щыцIэрыIуэ,9
къигъэзэжа нэужь,9
иджы абы,9
гуапэ хъуащ,9
Хьэх Сэфарбий,9
Тхьэр арэзы,9
Заказ №219,9
Тхьэ соIуэ,9
КъБР-м щIыхь,9
гъэ пщIондэ,9
ящыщ гуэр,9
игъащIэ псокIэ,9
къалэм дэт,9
ящыщ зыр,9
Апхуэдэу щыт,8
хуэфащэ пщIэ,8
ЖьантIэ ТхакIуэ,8
абы деж,8
пщы уэлийм,8
Жылагъуэ палатэм,8
дахэ цIыкIу,8
къэрал кIуэцI,8
1920 гъэм,8
абы иужькIэ,8
щIэныгъэ куу,8
щхьэрэ зэтелъу,8
щIэныгъэ лэжьакIуэ,8
нэхъ хьэлъэ,8
удз лIэужьыгъуэщ,8
2003 гъэм,8
жьэр Iурыхуауэ,8
гъэм сентябрым,8
псы цIыкIум,8
гупсысэ куу,8
Дуней псом,8
1921 гъэм,8
мурад иIэу,8
иджыри куэдрэ,8
хьэщIэ лъапIэ,8
Илъэс зыбжанэкIэ,8
Iуфэм Iус,8
Ищхъэрэм ГъуазджэхэмкIэ,8
Хьэт къэралыгъуэм,8
Дауэ мыхъуми,8
щхьэр ехьэхауэ,8
аращ абы,8
щхьэр къиIэтри,8
макъ къоIу,8
япэ итахэм,8
мэз лъапэхэм,8
хъун щхьэкIэ,8
псори абы,8
игу къокIыж,8
уIэгъэ хьэлъэ,8
унэ цIыкIум,8
гъы макъ,8
гъащIэ кIыхь,8
хъыджэбз цIыкIухэм,8
Дзэ Плъыжьым,8
япэ лъэбакъуэр,8
нэхъыфI дыдэхэм,8
илъэс тIощIым,8
жылагъуэ лэжьакIуэ,8
нэхъ Iей,8
БищIо Борис,8
пасэ дыдэу,8
Абы теухуауэ,8
хъыджэбз дахэ,8
Тыркум щыпсэу,8
абы игу,8
гъэщIэгъуэн куэд,8
адыгэбзэкIи урысыбзэкIи,8
КIурашын БетIал,8
абы хэт,8
КIэщт Мухьэз,8
ЩIэныгъэхэмкIэ Дунейпсо,8
махуэ дыдэм,8
Музыкэ театрым,8
щыщ Iыхьэ,8
гуэр иIэу,8
дауэ хъуну,8
жиIэрт игукIэ,8
къалэмыпэм къыщIэкIащ,8
философие гупсысэ,8
ипэ къихуэу,8
Балъкъэр Фоусэт,8
Урыс пащтыхьым,8
лъэпкъ щэнхабзэм,8
КъуэкIыпIэ Гъунэгъум,8
фIыуэ илъагъурт,8
арауэ пIэрэ,8
Кавказ Ищхъэрэ,8
щыIэу къыщIэкIынкъым,8
кхъухь тедзапIэм,8
хуей хъунущ,8
Къалмыкъ БетIал,8
удз дахэ,8
адэ къуэш,8
куэд щIакъым,8
фIэщ хъурт,8
Нобэр къыздэсым,8
нэхъ цIэрыIуэ,8
дамыгъэ лъапIэхэр,8
1935 гъэм,8
деж щекIуэкIа,8
фIэщ зэрыхъун,8
шэч хэлътэкъым,8
къанэ щIагъуэ,8
Мэзкуу дэт,8
нэхърэ нэхъыбэ,8
зэфIэкIа нэужь,8
жэуап къет,8
адэ къуэшыр,8
Псом япэ,8
Щомахуэ Амырхъан,8
щыта нэужь,8
Абы ирихьэлIэу,8
редактор нэхъыщхьэм,8
мурад сщIащ,8
Сыт мыгъуэ,7
КIэрашэ Тембот,7
щхьэр къыфIэхуауэ,7
Абы къыдэкIуэу,7
фIыуэ слъагъу,7
Гъуд къалэ,7
ЕтIуанэ дунейпсо,7
Нарт эпосым,7
ЛIыжь цIыкIум,7
мурад ещI,7
адыгэ поэзием,7
зыбжанэкIэ къэкI,7
занщIэу докIей,7
гъэм мартым,7
япэ лъэбакъуэхэр,7
Апхуэдэ Iуэху,7
гъэм щыщIэдзауэ,7
КIэрэф Мухьэмэд,7
апхуэдэхэм деж,7
адыгэ IуэрыIуатэм,7
Тхьэм щхьэкIэ,7
кIэщIу жыпIэмэ,7
адэм деж,7
Хъыджэбз цIыкIур,7
курыт еджапIэхэм,7
хуей хъурт,7
Къашыргъэ ХьэпащIэ,7
курыт еджапIэр,7
апхуэдэ щIыкIэкIэ,7
хэт нэхъ,7
кIэм нэс,7
пщы уэлийр,7
урыс пащтыхь,7
ахэр псори,7
псэ зыIут,7
2015 гъэм,7
къыгуэхыпIэ имыIэу,7
куэд щIат,7
1936 гъэм,7
гъэм къыдэкIа,7
лирикэ лIыхъужьыр,7
художественнэ дуней,7
икIи абыхэм,7
сом мин,7
унэ нэщIым,7
Хьэрэмэ Iуащхьэ,7
цIыхубз гуэр,7
Жылэтеж Сэлэдин,7
икIи ахэр,7
дуней еплъыкIэм,7
Тхьэгъэзит Юрэ,7
зыбжанэ хъуауэ,7
щIэныгъэхэмкIэ доктор,7
гъэм июлым,7
прозэу тха,7
Фырэ Руслан,7
Нал къута,7
тхылъ зыбжанэ,7
Сэтэней гуащэ,7
Идар Темрыкъуэ,7
жиIащ лIым,7
Адыгэ хабзэ,7
гъуазджэхэмкIэ щIыхь,7
иджыри илъэс,7
Иужьрей зэманым,7
нэхъ тынш,7
Мазэ ныкъуэ,7
ныкъуэ щхъуантIэ,7
ШэджыхьэщIэ Хьэмыщэ,7
псалъэ быдэ,7
сыту фIыт,7
Мысостышхуэ Пщызэбий,7
Кърым хъаным,7
ауэ щыхъукIэ,7
нэгум щIэтщ,7
Къаныкъуэ Заринэ,7
2010 гъэм,7
щхьэ пщIэ,7
Iуэху гуэр,7
Хъуэпсэгъуэ нур,7
зауэ IэнатIэм,7
нэгъуэщI зыри,7
зыри жиIакъым,7
Сыт жыпIэр,7
цIыкIу гуэр,7
нэщхъыр зэхэлъу,7
анэ шыпхъум,7
зэрыхуейм хуэдэу,7
къэплъытэ хъунущ,7
гум щыщIэр,7
сэр нэхърэ,7
Республикэм щIыхь,7
унафэщIу щытащ,7
япэ тхылъыр,7
Тобэ ярэби,7
Пэжыр жыпIэмэ,7
япэ увыпIэр,7
деж къыщыщIэдзауэ,7
зыри къикIакъым,7
хуэдэ дыдэу,7
къытращIыкIа спектаклым,7
гупсысэ нэхъыщхьэр,7
къуажэм дэс,7
щIэх дыдэу,7
нэхъ Iеижу,7
хэт сыт,7
махуэм ирихьэлIэу,7
ХьэIупэ ДжэбрэIил,7
шыбз гуартэ,7
Къэбэрдей псом,7
адыгэ псоми,7
ящыщ дэтхэнэми,7
цIэ къитIуа,7
1990 гъэм,7
Хамэ къэрал,7
махуэ къэси,7
фIыуэ илъэгъуа,7
Мысачэ Пётр,7
Iуэхур апхуэдэу,7
лъэпкъ усыгъэм,7
нэхъ кIащхъэ,7
зыхуэIуа щыIэкъым,7
адрей лъэпкъхэм,7
Литературэ институтым,7
1953 гъэм,7
къуэ закъуэм,7
нэхърэ мынэхъ,7
ИкIи абы,7
фIэщ хъуртэкъым,7
щыIэ Къэрал,6
илъэс тIощI,6
папщIэ абы,6
Къэрал саугъэтыр,6
щыхьэт зэрытехъуэщи,6
Цагъуэ Нурий,6
Къуэдзокъуэ Хьэсэн,6
усэ куэд,6
къуажэм щыщ,6
жиIащ пасэрейм,6
Къэбэрдей-Балъкъэрым щIыхь,6
гъэм августым,6
цIыхубэ артисткэ,6
щыIэ Адыгэ,6
1972 гъэм,6
районым щыщ,6
къуэш нэхъыжь,6
дыдэм ирихьэлIэу,6
дыдэхэм ящыщщ,6
сигу къэкIащ,6
тэмэм дыдэу,6
фIыуэ яшх,6
гугъу пщIы,6
1999 гъэм,6
игу фIы,6
зым нэхърэ,6
псалъэ шэрыуэхэмрэ,6
жылагъуэ зэгухьэныгъэхэм,6
адэ шыпхъум,6
2013 гъэм,6
Къосыр уэс,6
щхьэр егъэкIэрахъуэ,6
фIыуэ зылъагъу,6
илъэс 95-рэ,6
дэт курыт,6
Iуэхур зэрыщытыр,6
кIуэрыкIуэм тету,6
нэгъуэщI къэрал,6
Iуэху хэлъкъым,6
Алыхьым жиIэмэ,6
Псы Iуфэм,6
зэхэпх къудейуэ,6
нэгъуэщI куэдми,6
Заказ №352,6
Горький Максим,6
Шэвлокъуэ Пётр,6
Евгений Онегин,6
Iуэху еплъыкIэм,6
усакIуэ цIэрыIуэ,6
арэзы техъуащ,6
макъым зригъэIэтащ,6
зауэ губгъуэм,6
Псом япэрауэ,6
щыпсэу адыгэ,6
Къэсей хьэжым,6
ТIымыжь Хьэмыщэ,6
фIэкIа мыхъу,6
зауэр зэриухрэ,6
кърым хъаныр,6
адыгэ хабзэ,6
нэхъ инхэм,6
Ауэ ахэр,6
аддэ жыжьэу,6
Сыт пщIэн,6
зэрыщытам щыхьэт,6
1980 гъэм,6
нэр къижу,6
щIэныгъэхэмкIэ кандидат,6
Къэбэрдей-Балъкъэрым Гуманитар,6
щIэ гуэр,6
Хьэмыку Жаннэ,6
Абы нэмыщI,6
Iэмал иIакъым,6
спектаклым щоджэгу,6
пасэрей алыджхэм,6
апхуэдэ хабзэ,6
апхуэдэ псалъэ,6
цIэ дыдэр,6
Нэсрэн ЖьакIэ,6
гъы макъыр,6
нэхъ Iэзэ,6
хъыбар куэд,6
зыми емыщхь,6
къудейуэ аращ,6
щхьэц фIыцIэ,6
АрщхьэкIэ абы,6
фIэкIа Iуэху,6
щыхьэт наIуэщ,6
1952 гъэм,6
щыщ гуэр,6
псы уэрым,6
яку дэлъа,6
1938 гъэм,6
Пащтыхьымрэ пащтыхь,6
Апхуэдэ дыдэу,6
гум илъ,6
Къамбот абы,6
иужь итщ,6
нобэрей гъащIэм,6
къуажэ советым,6
хуейми удзи,6
фIэкIа къэмынэу,6
нэгу къыщIыхьэжащ,6
удз гъэгъахэр,6
куэд лъандэрэ,6
ауан хэлъу,6
адыгэ хабзэр,6
гъэм июным,6
щхьэ течауэ,6
дунейм къытохьэ,6
хъуну пIэрэ,6
илъэс зыбжанэ,6
абы къыхэкIыу,6
жыг хадэр,6
щым мэхъу,6
къудейуэ арат,6
1961 гъэм,6
сигу къокIыж,6
Дауэ щымытми,6
сыт хуэдизкIи,6
Мухьэмэд сымэ,6
Къумахуэ Мухьэдин,6
Борыкъуей ТIутIэ,6
лъэпкъ зэхэщIыкIыр,6
деж абы,6
щэху цIыкIуу,6
1922 гъэм,6
къэралхэм щыпсэу,6
пщIащэ пылъэлъыжыгъуэщ,6
фIэщ хъункъым,6
Дауэ мыхъуами,6
Бжьыхьэр пщIащэ,6
литературэ щIэныгъэм,6
къриубыдэу абы,6
кIахэ адыгэхэм,6
1955 гъэм,6
щIэныгъэлI цIэрыIуэ,6
сыт щыIэ,6
ХьэтIохъущокъуэ Къазий,6
сэбэп мэхъу,6
мурад ящIащ,6
куэдрэ ущрохьэлIэ,6
1937 гъэм,6
СяужькIэ хуейми,6
фIэщ мыхъумэ,6
пщIантIэм дэт,6
пщым деж,6
щIыпIэм деж,6
щхьэр къиIэтащ,6
фIэщ хъуакъым,6
Сыт мыгъуэр,6
нэхъ гъунэгъуу,6
нэгъуэщI Iэмал,6
Къэбэрдейр Урысейм,6
Федерацэм щIыхь,6
тхакIуэ ныбжьыщIэхэм,6
пщэдджыжь фIыуэ,6
Зыр зым,6
Истэпан Залинэ,6
ЛIэужьыгъуэ зыбжанэу,6
ЖьантIэ УсакIуэ,6
гъэм октябрым,6
ЩIалэ цIыкIухэр,6
амазонкэ къэралыгъуэм,6
урыс литературэм,6
зыфIища усэм,6
1970 гъэм,6
