w_bigram,freq
уэшх къыщешхынущ,44
щIэныгъэ нэхъыщхьэ,44
уфауэ щыщытынущ,44
етIуанэ дивизионым,44
сом мелуани,43
редактор нэхъыщхьэ,43
хъун папщIэ,43
ЩIы Хъурейм,42
Къэбэрдей къэрал,42
адыгэ щIалэм,42
лъэ быдэкIэ,42
Шэч хэмылъу,42
Абы папщIэ,42
зэманым къриубыдэу,42
нэхъ пасэу,42
Узыншагъэр хъумэнымкIэ,42
илъэс зыбжанэкIэ,41
гугъу пщIымэ,41
тренер нэхъыщхьэ,41
Бахъсэн къалэм,41
фIыщIэ яхуищIащ,41
Урысей гвардием,41
Музыкэ театрым,40
2010 гъэм,40
еджапIэ нэхъыщхьэхэм,40
1948 гъэм,40
1937 гъэм,40
япэ дивизионым,40
нэхъ дэмыкIыу,40
КIыщокъуэ Алим,40
федеральнэ щIыналъэм,40
абыхэм ящыщу,39
1955 гъэм,39
жылагъуэ зэгухьэныгъэм,39
махуэм градуси,39
щIыналъэ къудамэм,39
нэхъ куууэ,39
США-м щыщ,39
щыпсэу адыгэхэм,39
унафэм щIэту,39
1990 гъэм,38
щIыпIэ куэдым,38
1917 гъэм,38
япэ дыдэ,38
цIэр фIыкIэ,38
курыт школ,38
Iус Ростов,38
унафэ къищтащ,38
зыхуей хуэзэу,38
зыр адрейм,37
Къэбэрдей-Балъкъэрым щыщ,37
1935 гъэм,37
дуней псор,37
нэхъ тыншу,37
нэгъуэщI къэралхэм,37
дзэм къулыкъу,37
илъэс мин,37
нэгъуэщIу жыпIэмэ,37
Хэку зауэшхуэр,37
етIуанэ увыпIэр,37
псом щыцIэрыIуэ,37
1934 гъэм,37
2008 гъэм,36
абы теухуауэ,36
къэрал куэдым,36
зыбжанэ хъуауэ,36
щрикъум ирихьэлIэу,36
хабзэм тету,36
2016 гъэм,36
икIи ахэр,36
щIэныгъэмкIэ щIыхь,36
1960 гъэм,36
дыжьын медалыр,36
1958 гъэм,36
Абы къищынэмыщIауэ,36
щIэныгъэхэмкIэ щIыхь,35
щIэныгъэмрэ щIалэгъуалэм,35
УнафэщI Егоровэ,35
Абы ипкъ,35
УнафэщI Мусуков,35
Кавказ зауэм,35
Дон Iус,35
алыдж-урым бэнэкIэмкIэ,35
лэжьэн щыщIидзащ,35
сыт хуэдиз,35
къанэ щымыIэу,35
щиIэ къудамэм,35
теухуа унафэ,35
ику иту,35
сом меларди,34
дунейм щыяпэу,34
1918 гъэм,34
нэхъ псынщIэу,34
1967 гъэм,34
1952 гъэм,34
1970 гъэм,34
махуэ гуэрым,34
къалэ дэт,34
тхыдэ щIэныгъэхэм,34
зезыхьэ Къэбэрдей,33
2017 гъэм,33
махуэм ирихьэлIэу,33
тренер нэхъыщхьэу,33
2013 гъэм,33
щытыкIэ гугъум,33
къуажэм къыщалъхуащ,33
1932 гъэм,33
1947 гъэм,33
1930 гъэм,33
джэгупIэ губгъуэм,33
филологие щIэныгъэхэм,32
абыхэм ящыщ,32
Ставрополь крайм,32
псы Iуфэм,32
куэд дэмыкIыу,32
адыгэ хабзэм,32
1954 гъэм,32
кIэщIым къриубыдэу,32
2000 гъэм,32
1964 гъэм,32
хъуа нэужь,32
Къэрал кIуэцI,32
2006 гъэм,32
къалъхуащ урыс,32
къызэралъхурэ илъэс,32
Олимп чемпион,32
урыс пащтыхьым,32
1965 гъэм,31
дежкIэ мыхьэнэшхуэ,31
къызыхэкIа лъэпкъым,31
1922 гъэм,31
Куэд дэмыкIыу,31
удз гъэгъахэр,31
хэлъхьэным теухуауэ,31
2007 гъэм,31
къудей мыхъуу,31
Iуэху еплъыкIэр,31
хьэлъагъыр килограмм,30
Олимп Джэгухэр,30
ХьэфIыцIэ Мухьэмэд,30
Псалъэм къыдэкIуэу,30
тхакIуэ цIэрыIуэ,30
цIыхубэ усакIуэ,30
хъыджэбз цIыкIум,30
къыщыгъэлъэгъуа зэхъуэкIыныгъэхэр,30
унафэщIу щытащ,30
гъэ къэс,30
нэгъуэщI щIыпIэ,30
абы нэхъ,30
метр зэбгъузэнатIэ,30
Абы щхьэкIэ,29
нэгъуэщI куэди,29
гуэдзэным къыщыгъэлъэгъуа,29
гъэм щыщIэдзауэ,29
дыдэхэм ящыщ,29
къалъхуащ УФ-м,29
Iуащхьэмахуэ лъапэ,29
Бахъсэн районым,29
УнафэщI Алий,29
зезыхьэ Къэбэрдей-Балъкъэр,29
1921 гъэм,29
Жылагъуэ палатэм,29
Нэгумэ Шорэ,29
ещанэ увыпIэр,29
адыгэ щIалэр,29
саугъэтыр зрата,29
нэхърэ куэдкIэ,29
1994 гъэм,28
Штат Зэгуэтхэм,28
1949 гъэм,28
Къэрал саугъэтым,28
СССР-м спортымкIэ,28
къалэ 2022,28
мащIэ дыдэщ,28
1920 гъэм,28
Псом нэхърэ,28
курыт еджапIэр,28
Пётр Езанэм,28
сурэт щIыным,27
1971 гъэм,27
чемпион хъуа,27
1992 гъэм,27
псынщIэ дыдэу,27
Краснодар крайм,27
1959 гъэм,27
цIыху мини,27
къалэн нэхъыщхьэр,27
адэжь щIыналъэм,26
программэм зэхъуэкIыныгъэхэр,26
ипэ къихуэу,26
2004 гъэм,26
пащтыхь гуащэ,26
жэщым щIыIэр,26
командэ къыхэхар,26
жылагъуэ зэгухьэныгъэхэм,26
Казбек Налшык,26
дунейпсо чемпион,26
Ауэ щыхъукIэ,26
къэрал лэжьакIуэ,26
фIыуэ ялъагъу,26
сом мини,26
щIыпIэ администрацэм,26
Тэрч щIыналъэм,26
псом япэ,26
щыхьэт зэрытехъуэмкIэ,25
1961 гъэм,25
нэхъ лъагэ,25
къэрал институтым,25
1928 гъэм,25
КIэщIу жыпIэмэ,25
фIыуэ зылъагъу,25
къалъхуащ США-м,25
пIалъэ-пIалъэкIэрэ уэшх,25
къалэ 2023,25
Гъэмахуэ Олимп,25
фIыуэ илъагъу,25
Iэдакъэ къыщIэкIащ,25
дунейпсо зауэм,25
жыджэру хэтщ,25
дунейпсо чемпионатым,25
курыт школым,25
абы къыхэкIыу,25
псом япэу,25
ЩIы хъурейм,25
щIэныгъэхэмкIэ кандидат,25
2009 гъэм,25
2005 гъэм,25
гъэм екIуэкIа,25
1968 гъэм,24
еджапIэ нэхъыщхьэм,24
1972 гъэм,24
Махуэм хуабэр,24
нэхъ лъэщ,24
1933 гъэм,24
гъэ дыдэм,24
Абы къыдэкIуэу,24
управленэу КъБР-м,24
ФIыцIэ Iуфэм,24
2024 гъэм,24
Апхуэдэу щыхъум,24
зэман кIэщIым,24
гуп нэхъыщхьэм,24
нэхъ дахэ,24
гъэмахуэ Олимп,24
уголовнэ Iуэху,24
иджыблагъэ щекIуэкIащ,24
Лъэпкъ музейм,24
Къэбэрдей Адыгэ,24
курыт еджапIэхэм,24
етIуанэ Iыхьэм,24
щIыпIэ унафэр,24
2015 гъэм,24
1914 гъэм,24
япэ Iыхьэм,24
Iуэхум теухуауэ,24
КъуэкIыпIэ Гъунэгъум,24
ЩэнхабзэмкIэ унэм,24
ехыжа нэужь,23
теухуауэ Къэбэрдей-Балъкъэр,23
щIалэ цIыкIу,23
домбеякъ медалыр,23
адыгэ щIалэ,23
Республикэм щыIэм,23
Нало Заур,23
егъэджэныгъэ IэнатIэм,23
дыкъэзыухъуреихь дунейр,23
цIыхубэ тхакIуэ,23
гуп къыхэхам,23
1951 гъэм,23
тонн мин,23
щIыгъу гуэдзэным,23
1953 гъэм,23
уэрэджыIакIуэ цIэрыIуэ,23
щIыналъэ администрацэм,23
саугъэтыр зыхуагъэфэща,23
унафэм щIыгъу,23
художественнэ унафэщI,23
1963 гъэм,23
медалыр къыщихьащ,23
илъэсым къриубыдэу,23
къызэралъхурэ илъэси,23
Шэч хэлъкъым,23
къалэ Къэбэрдей-Балъкъэр,23
1929 гъэм,23
нэхъ гугъу,23
1985 гъэм,23
лъэпкъ литературэм,23
мыхьэнэшхуэ зэриIэр,23
ящыщ зыуэ,22
махуэщ Урысейм,22
яку дэлъ,22
щекIуэкI зэхьэзэхуэм,22
хуей мэхъу,22
лъагэ зиIэ,22
фIэщыгъэм щIэту,22
гъэм ирихьэлIэу,22
Федеральнэ Зэхуэсым,22
Iэпщэ Александр,22
IутIыж Борис,22
Махуэ гуэрым,22
нэхъыбэ дыдэ,22
Iэмал иIэтэкъым,22
шэч къытесхьэркъым,22
клиникэ сымаджэщым,22
филологие щIэныгъэхэмкIэ,22
медицинэ щIэныгъэхэм,22
щIыхь тхылъхэр,22
курыт щIэныгъэ,22
1966 гъэм,22
дзэ Iуэху,22
щIэныгъэ щрагъэгъуэт,21
Тэрч районым,21
республикэ бюджетым,21
щIэныгъэ-къэхутакIуэ институтым,21
Парламентым унафэ,21
Япэ гупым,21
1995 гъэм,21
къалэ администрацэм,21
Гуманитар къэхутэныгъэхэмкIэ,21
Прохладнэ къалэм,21
лъэпкъ щэнхабзэм,21
2011 гъэм,21
экономикэ щIэныгъэхэм,21
2014 гъэм,21
Абыхэм яхэтщ,21
кIэух зэIущIэм,21
удз гъэгъа,21
турнир таблицэм,21
Iуэху еплъыкIэ,21
Дзэ Плъыжьым,21
Москва къалэм,21
Езауэ Анзор,21
Управленэу КъБР-м,21
щIэныгъэ куу,20
1976 гъэм,20
командэ нэхъыщхьэм,20
дыщэ медалхэр,20
ящыщ куэд,20
нэгъуэщI щIыпIэхэм,20
абы иужькIэ,20
къуажэм щыщ,20
1924 гъэм,20
пэтми нэхъ,20
иужьрей илъэсхэм,20
хъуауэ щытащ,20
Къанокъуэ Арсен,20
программэм ипкъ,20
Урыс-Кавказ зауэм,20
фIэщ хъуркъым,20
Абы хэту,20
Махуэ Билал,20
1931 гъэм,20
Бэрбэч ХьэтIутIэ,20
Олимп джэгухэр,20
арэзы техъуащ,20
зэфIэкI зиIэ,20
ЩIэныгъэхэмкIэ Дунейпсо,20
1927 гъэм,20
унафэм ипкъ,20
Къумахуэ Мухьэдин,20
Урысей зэкъуэт,20
Егъэджэныгъэмрэ щIэныгъэмкIэ,20
Абы теухуауэ,20
къалъхуащ тхакIуэ,20
мащIэ дыдэу,20
къалэ округым,20
куэд мэхъу,20
Iуэху хэхам,20
къалъхуащ адыгэ,20
нэхъ гъунэгъуу,20
мазэ къэс,20
хъыджэбз цIыкIур,19
къалъхуащ усакIуэ,19
1974 гъэм,19
гъэм Лондон,19
НэгъуэщIу жыпIэмэ,19
1962 гъэм,19
абы нэхърэ,19
Сыт щыгъуи,19
щIыкIэм тету,19
Апхуэдэу щытми,19
щэнхабзэмрэ гъуазджэмрэ,19
Къардэн Мурат,19
1919 гъэм,19
лэжьыгъэ IуэхукIэ,19
1925 гъэм,19
адыгэ литературэм,19
Кулиев Къайсын,19
Шортэн Аскэрбий,19
къэрал къулыкъущIэ,19
Хамэ къэрал,19
Япэ дыдэу,19
муниципальнэ районым,19
мэкъумэш IэнатIэм,19
сыт хуэдэу,19
курыт школхэм,18
Къарей Элинэ,18
къалэнхэр зыгъэзащIэ,18
Элинэ трихащ,18
медалыр зыIэригъэхьащ,18
хабзэхъумэ IэнатIэхэм,18
адыгэ лъэпкъыр,18
нэхъыщхьэхэм ящыщщ,18
Татьянэ Налшык,18
хъыбарегъащIэ IэнатIэхэм,18
I-нэ лIэщIыгъуэм,18
щIыналъэ псоми,18
Павлов Василий,18
ЩIыхь тхылъыр,18
илъэс бжыгъэ,18
уэфIу щыщытынущ,18
къэплъытэ хъунущ,18
цIыху мелуан,18
псом щынэхъ,18
Апхуэдэ дыдэу,18
Адыгэ псалъэм,18
лъэпкъ проектхэр,18
ящыщу нэхъ,18
дыдэхэм ящыщщ,18
иджыри къыздэсым,18
адыгэ лъэпкъ,18
абы теухуа,18
Тэрч къалэ,18
1980 гъэм,18
нэгъуэщI къэрал,18
Сэхъурокъуэ Хьэутий,17
къыщащта махуэм,17
арэзы хъуащ,17
Тыркум щыпсэу,17
Абы щыхьэт,17
къалэнхэр пIалъэкIэ,17
район администрацэм,17
Жылагъуэ советым,17
1975 гъэм,17
гъущI гъуэгу,17
япэ къуэдзэ,17
1916 гъэм,17
къэрал псом,17
1923 гъэм,17
дунейм къытехьа,17
псэупIэ-коммунальнэ хозяйствэмкIэ,17
Налшык уэфIу,17
медицинэ щIэныгъэхэмкIэ,17
1981 гъэм,17
Республикэм щIыхь,17
1969 гъэм,17
илъэс 75-рэ,17
игъащIэ лъандэрэ,17
Илъэс къэс,17
къыхуагъэфэщауэ щытащ,17
Урысей ФСБ-м,17
сабийхэм папщIэ,17
нэгъуэщI щIыпIэхэми,17
Дзэлыкъуэ щIыналъэм,17
къалъхуащ актёр,17
фIыуэ зылъагъухэм,17
пщIэрэ щIыхьрэ,17
хъуащ икIи,17
Iуэхур нэхъ,17
нэIэ щIэту,17
къулыкъум зэреджэр,17
щекIуэкIа Олимп,17
IэщэкIэ ЗэщIэузэда,17
унафэм щIэт,16
Урысей Академием,16
псом цIэрыIуэ,16
ЗэIущIэм щытепсэлъыхьащ,16
къалэм щекIуэкIащ,16
нэхъри нэхъ,16
Iуэху еплъыкIэхэр,16
цIэр зезыхьэм,16
цIыхубэ сурэтыщI,16
МэшбащIэ Исхьэкъ,16
1996 гъэм,16
жиIащ КъБР-м,16
1993 гъэм,16
Черкесск къалэм,16
Указым къару,16
КъБР-м Узыншагъэр,16
къалэн нэхъыщхьэу,16
1908 гъэм,16
Ласицкене Марие,16
атлетикэ псынщIэмкIэ,16
деж щыIэ,16
1904 гъэм,16
къыдэкIуэу жыпIэмэ,16
президенту щыта,16
кубокыр къэхьыным,16
Сочэ къалэм,16
къалъхуащ шэрджэс,16
Ищхъэрэ къэрал,16
ауэ сытми,16
Адыгэ лъэпкъым,16
нэхъ тынш,16
дыкъэзыухъуреихь дунейм,16
къэфакIуэ гупым,16
уэрамым тет,16
1950 гъэм,16
ящыщ зыр,16
щIыпIэм деж,16
дэтхэнэ зыри,16
увыпIэр къыщихьащ,16
дэт къэрал,16
къуажэ цIыкIум,16
Къэзанокъуэ Жэбагъы,16
гъэхэм екIуэкIа,16
2002 гъэм,16
гъэщIэгъуэн куэд,16
дэт университетым,16
2001 гъэм,16
хъыджэбз цIыкIу,16
фIыщIэ тхылъхэр,16
урысейпсо зэпеуэм,15
щхьэ Iуэху,15
ЕтIуанэ махуэм,15
КъардэнгъущI Зырамыку,15
нэхъыфI дыдэу,15
къалъхуащ уэрэджыIакIуэ,15
зэхуаку дэлъ,15
нэгъуэщI лъэпкъхэм,15
Налшык уэшх,15
IуэхухэмкIэ министру,15
нэхъ инхэм,15
цIэрыIуэ щыхъуа,15
зыбжанэ ипэкIэ,15
нэмыцэ зэрыпхъуакIуэхэм,15
1988 гъэм,15
Илъэс зыбжанэ,15
дуней тетыкIэм,15
хуабэр градуси,15
япэ Iыхьэр,15
КIуэкIуэ Валерэ,15
цIэ лъапIэхэр,15
ящыщ куэдым,15
къэрал кIэзонэ,15
1982 гъэм,15
куэдым ягу,15
теплъэ зиIэ,15
1973 гъэм,15
Идар Темрыкъуэ,15
хуэдэ дыдэу,15
2003 гъэм,15
Унафэм къару,15
Дунейпсо кубокыр,15
КъБР-м гъуазджэхэмкIэ,15
Викторрэ Мариерэ,15
Бахъсэн къалэ,15
илъэс мини,15
Урысей Федерацэмрэ,15
егъэджэныгъэмрэ щIэныгъэмкIэ,15
-нэ лIэщIыгъуэм,15
иужьрей зэманым,15
Дунейпсо Олимп,15
Кавказым щыпсэу,15
хуейуэ аращ,15
ехъулIэныгъэ инхэр,15
лIыжь цIыкIум,15
Къэбэрдейр Урысейм,15
абы щыгъуэми,15
Котляровхэ Викторрэ,14
Къалэбатэ Рустам,14
ауэ абыхэм,14
Iуэхур зытетыр,14
Абы ирихьэлIэу,14
совет актёр,14
жыджэру хэтащ,14
бюджетым къыхэкIыу,14
жиIащ КIуэкIуэ,14
Зеикъуэ къуажэм,14
Иужьрей илъэсхэм,14
фIэкIа умыщIэну,14
Мис абы,14
унафэ къащтащ,14
балигъ мыхъуахэм,14
Мырзэ Резуан,14
Къэбэрдей-Балъкъэр АССР-м,14
унафэщIу лэжьащ,14
спорт лIэужьыгъуэм,14
хуей хъумэ,14
зезыхьэ уэрамым,14
дызэрыт илъэсым,14
теухуа Положенэм,14
тенджыз ФIыцIэм,14
мэкъумэш хозяйствэмкIэ,14
пщIэ лей,14
сыт хуэдизу,14
илъэс дыдэм,14
апхуэдэ Iэмал,14
нэхъ мащIэщ,14
нэгу щIэкIа,14
абы щыщу,14
КъБР-м узыншагъэр,14
егъуэт къыщащта,14
Иужьрей зэманым,14
къриубыдэу абы,14
Аруан щIыналъэм,14
теухуа хъыбар,14
100 зэрырикъум,14
адыгэбзэмрэ литературэмкIэ,14
зэрызэгурыIуам тету,14
сабий садым,14
Красножан Юрэ,14
класс зиIэ,14
1997 гъэм,14
Ахэр псори,14
узыншагъэр хъумэным,14
Iуэхугъуэ куэд,14
къэрал мэкъумэш,14
нэхъыбэ дыдэу,14
Сыт хуэдиз,14
Пушкин Александр,14
редактор нэхъыщхьэу,14
дамыгъэ лъапIэхэр,14
жыг хадэм,14
гъэм къыщалъхуащ,14
Абы къыхэкIкIэ,14
Мис апхуэдэ,14
щIыIэр градуси,13
жэз медалыр,13
1986 гъэм,13
Грозный Иван,13
мащIэ хъуащ,13
хамэ къэралхэми,13
куэд хъуауэ,13
дэкIа нэужь,13
ЕтIуанэ дунейпсо,13
къэрал академическэ,13
пащтыхь гуащэм,13
къыкIэлъыкIуэм хуэдэу,13
Совет Союзымрэ,13
ЗэIущIэм хэтащ,13
нэхъыбэ хъуащ,13
акъылыр зыгъэутхъуэ,13
жиIэу аращ,13
абы папщIэ,13
иуха нэужь,13
адыгэ лъэпкъхэм,13
гъэ еджэгъуэщIэм,13
ТекIуэныгъэ Иныр,13
япэ щIыкIэ,13
гъэм нэсыху,13
япэ лъэбакъуэхэр,13
ЩIалэгъуалэ палатэм,13
Северного Кавказа,13
къулыкъу щищIащ,13
КъыкIэлъыкIуэ илъэсым,13
Вагъуэ Плъыжь,13
щыIэ Адыгэ,13
уIэгъэ хьэлъэ,13
нэIэм щIэту,13
цIэр зэрехьэ,13
адыгэ тхыдэм,13
Аруан районым,13
1926 гъэм,13
Санкт-Петербург дэт,13
Мэзкуу областым,13
зэи къэмыхъуауэ,13
202I гъэм,13
Федерацэм щIыхь,13
курыт школыр,13
зэмылIэужьыгъуэ куэд,13
зэманым ирихьэлIэу,13
нэхърэ мынэхъ,13
гъэм Къэбэрдей-Балъкъэрым,13
ГъуазджэхэмкIэ Кавказ,13
Чайкэ Юрий,13
Махуэ къэс,13
къэрал властым,13
апхуэдэ Iуэху,13
щIалэ цIыкIухэр,13
Зэман дэкIри,13
УФ-м щэнхабзэмкIэ,13
щIэх дыдэу,13
япэ адыгэ,13
зыхэта гупым,13
куэд лъандэрэ,13
кърым хъаным,13
федеральнэ округым,12
хуей хъурт,12
Ростов къалэм,12
икIи илъэс,12
Япэ дунейпсо,12
проектым ипкъ,12
1829 гъэм,12
зэрыгухьэрэ илъэс,12
мардэхэм тету,12
урысей актёр,12
Дзэлыкъуэ районым,12
115-нэ Къэбэрдей-Балъкъэр,12
Урысей МЧС-м,12
щIалэ цIыкIухэм,12
КъБР-м Егъэджэныгъэмрэ,12
зэгухьэныгъэм хэт,12
гъащIэмрэ гуащIэмрэ,12
спорт комплексым,12
щхьэр лъагэу,12
Къэрэшей-Шэрджэс Республикэм,12
щытащ икIи,12
гъэм советыдзэхэм,12
щыщ Iыхьэ,12
лъэныкъуэмкIэ щыIэ,12
махуэ псом,12
сабий клиникэ,12
апхуэдэу йоджэ,12
зэман жыжьэм,12
Габрилян Геннадий,12
адэжь хэкум,12
узыфэ зэрыцIалэм,12
хэтащ УФ-м,12
Балъкъыз Артур,12
нэIэ щIэт,12
хъугъуэфIыгъуэхэмрэ экологиемкIэ,12
къыхэхам хэту,12
япэ секретару,12
къалэм щекIуэкIа,12
Лондон щекIуэкIа,12
къыгуэхыпIэ имыIэу,12
Иджыри къэс,12
Къэбэрдей-Балъкъэр щIыналъэ,12
Мэлбахъуэ Тимборэ,12
зэхэту сом,12
иджырей мардэхэм,12
ныбжьыр илъэси,12
куэду зэхэт,12
ЩIалэ цIыкIур,12
министру щыта,12
къэрал IуэхухэмкIэ,12
урысейпсо зэхьэзэхуэ,12
щIыналъэм щыпсэу,12
Горький Максим,12
пIалъэкIэ зыгъэзащIэ,12
гугъу ищIащ,12
мащэ кIыфIым,12
жиIащ лIыжьым,12
Кавказ зауэр,12
адэ къуэшым,12
федеральнэ къулыкъущIапIэм,12
уэрэд жыIэным,12
япэ лигэм,12
КъэпщытакIуэ гупым,12
КъБР-м щIэныгъэхэмкIэ,12
адыгэ къуажэ,12
абы щыпсэу,12
ахэр псори,12
уэрэдымрэ къафэмкIэ,12
нэхъ цIэрыIуэ,12
нэхъыщхьэу щыта,12
жьы хъуа,12
хабзэм къемызэгъыу,12
физическэ щэнхабзэмрэ,12
къыдигъэкIа Унафэ,12
къалэ цIыкIум,12
дунейпсо зэпеуэм,12
эрэм ипэкIэ,12
бгылъэ щIыпIэхэм,12
1864 гъэм,12
Дызэрыт илъэсым,11
ухуэныгъэмрэ псэупIэ-коммунальнэ,11
