"#name",Урыс-адыгэ школ псалъалъэ (Rus-Ady) (eastern)
"#sourceLang","Russian"
"автомобильный","-ая, -ое автомобиль, машинэ; автомобильный завод автомобиль завод, автомобильная шина машинэ шинэ"
"автономия","ж. I автономие, я Iуэху зэрахьэжынымкIэ хуитыныгъэ нэс яIэныгъэ"
"автономный","-ая, -ое автономнэ; автономная республика автономнэ республикэ"
"автор","м. II автор, зыгуэр зытха, зэхэзылъхьа, къэзыгупсыса; автор романа романыр зытхар; автор проекта проектыр зыщIар"
"авторитет","м. II Iулыдж, щIыхь, пользоваться авторитетом щIыхь (Iулыдж) къыхуащIын"
"авторитетный","-ая, -ое щIыхь, пщIэ зыхуащI, Iулыдж зиIэ; авторитетный ученый щIыхь зыхуащI щIэныгъэлI; авторитетное мнение пщIэ зыхуащI Iуэху еплъыкIэ"
"авторучка","ж. I авторучкэ"
"ага","межд. Iыхьы, ахьа; ага! попался! ахьа! ухуэза!"
"агент","м. II в разн. знач. агент; агенты империализма империализмэм и агентхэр; агент по снабжению къызэгъэпэщынымкIэ агент"
"агентство","с. II агентства; телеграфное агентство телеграфнэ агентства"
"агитатор","м. II агитатор, агитацэ езыгъэкIуэкI"
"агитация","ж. I, мн. нет агитацэ: вести агитацию агитацэ егъэкIуэкIын"
"агитировать","I, несов., кого-что и без доп.
1. агитацэ егъэкIуэкIын; агитировать среди молодежи щIалэгъуалэм агитацэ дегъэкIуэкIын
2. акъылэгъу къэщIын, къэгъэдэIуэн, къытегъэхьэн; он его агитирует в кино ар абы кином кIуэну къегъэдаIуэ"
"агитпункт","м. II агитпункт"
"аграрный","-ая, -ое аграрнэ, щIы Iуэхум епха, бгъэдэлъ; аграрная реформа аграрнэ реформэ"
"агрессивный","-ая, -ое агрессивнэ, теуэныгъэм хущIэкъу"
"агрессия","ж. I агрессие, теуэныгъэ, зэрыпхъуэныгъэ; совершить агрессию зэрыпхъуэн мурадкIэ теуэныгъэ щIын"
"агрессор","м. II агрессор, зэрыпхъуакIуэ"
"агроном","м. II агроном; колхозный агроном колхоз агроном"
"агрономия","ж. I агрономие, мэкъумэш Iуэхур зыдж щIэныгъэ"
"агротехника","ж. I, мн. нет агротехникэ, мэкъумэшым пыщIа техника"
"ад","м. II, мн. нет жыхьэнэмэ"
"адвокат","м. II уэчыл"
"аджарцы","мн. (ед. аджарец, м. II, аджарка, ж. I) аджар цIыху"
"администратор","м. II администратор, къулыкъу зи пщэ дэлъ"
"администрация","ж. I, мн. нет администрацие, унафэ гуэрхэр къызыбгъэдэкI"
"адрес","м. II хэщIапIэ, адрес; домашний адрес унэм и адрес; точный адрес хэщIапIэ тэмэм"
"адский","-ая, -ое
1. жыхьэнэмэ, жыхьэнэмэм хуэдэ
2. перен. (разг.) Iей, егъэлея; адская жара хуабэ Iей"
"азарт","м. II, мн. нет егъэлеяуэ дихьэхыныгъэ; работать с азартом дихьэхауэ лэжьэн; войти в азарт зыгуэрым дихьэхын"
"азартный","-ая, -ое егъэлеяуэ дэзыхьэх; азартная игра егъэлеяуэ дэзыхьэх джэгукIэ"
"азбука","ж. I азбукэ, алфавит; русская азбука урыс азбукэ"
"аист","м. II аист, къуалэбзу лъакъуэкIыхь пIащэ"
"ай","межд. ай, уай"
"айва","ж. I, мн. нет хьэиуэ"
"айсберг","м. II айсберг (хым есу хэлъ мыл абрагъуэ)"
"академия","ж. I академие; академия наук щIэныгъэхэмкIэ академие"
"акация","ж. I кIарц"
"акварель","ж. III акварель
1. псыкIэ зэхэщIа краскэ
2. псыкIэ зэхэщIа краскэкIэ ящIа сурэт"
"акклиматизация","ж. I, мн. нет акклиматизацэ, щIыпIэр езэгъ хъуныгъэ"
"аккомпанемент","м. II, мн. нет дежьуу-ныгъэ; петь под аккомпанемент рояля роялкIэ дежьууэ уэрэд жыIэн"
"аккордеон","м. II аккордеон, пшынэ"
"аккордеонист","м. II аккордеоным еуэ, пшынауэ"
"аккуратно","нареч.
1. IэкIуэлъакIуэу (зэпэщу); он все делает аккуратно абы псори IэкIуэлъакIуэу ещIэ
2. зэблэмыуу; нам аккуратно доставляют газету дэ газетыр зэблэмыуу къытхуахь"
"аккуратность","ж. III, мн. нет зэщIэкъуауэ щытыныгъэ, егугъуныгъэ; в любом деле должна быть аккуратность дэтхэнэ зы Iуэхуми егугъуныгъэр хэлъын хуейщ"
"аккуратный","-ая, -ое зэщIэкъуа, зэкIэлъыкIуэ; аккуратный человек цIыху зэщIэкъуа, аккуратная работа лэжьыгъэ зэкIэлъыкIуэ"
"акробат","м. II акробат, циркым щылажьэ артист"
"аксиома","ж. I аксиомэ (зэхэгъэкIа хьэзыру наукэм къилъытэ)"
"акт","м. II, в разн. знач. акт на вечное пользование землей щIыр игъащIэкIэ къэгъэсэбэпынымкIэ акт; обвинительный акт зэрагъэкъуаншэ акт; составить акт акт щIын"
"активист","м. II, активист, Iуэхум жыджэру хэт"
"активность","ж. III, мн. нет жыджэрыгъэ"
"активный","-ая, -ое
1. жыджэр, хьэрхуэрыгъэ зыхэлъ; активный член кружка кружокым жыджэру хэт
2. активнэ; активный процесс активнэ процесс"
"актуальный","-ая, -ое зэман хэхам дежкIэ мыхьэнэшхуэ зиIэ; актуальная тема зэманым дежкIэ мыхьэнэшхуэ зиIэ темэ"
"акцент","м. II акцент, псэлъэкIэм дерт иIэн; говорить с акцентом дерт иIэу псэлъэн ; сделать акцент на чем-л. зыгуэрым тегъэчыныхьын, акцент хуэщIын"
"алеть","I, несов., тк. 3 л.
1. плъыжь хъун, плъыжьыгъэ къыщIыхьэн; небо начало алеть уафэр плъыжь хъууэ хуежьащ
2. къыхэплъыжьыкIын, плъыжьу къэлъэгъуэн; вдали алеют маки Iущхьэхэр жыжьэу къыхоплъыжьыкI (плъыжьу къолъагъуэ)"
"аллегория","ж. I (лит.) аллегорие, зэхьэкIауэ къэпсэлъыныгъэ"
"аллея","ж. I аллей (зи бгъунтIымкIи жыг егъэкIэкIа гъуэгу, лъэс лъагъуэ); липовая аллея бзиху зэгъэкIэкIа аллей"
"алмаз","м. II налмэс"
"алфавит","м. II алфавит; черкесский (адыгский) алфавит адыгэ алфавит"
"алфавитный","-ая, -ое алфавит; алфавитный порядок алфавит зэкIэлъыкIуэкIэ"
"алчность","ж. III, мн. нет нэпсеигъэ, Iудырыгъэ"
"алчный","-ая, -ое нэпсей, быдэ; алчный человек цIыху нэпсей"
"алый","-ая, -ое плъыжьыбзэ, плъыжь; алые знамена нып плъыжьхэр; алые цветы удз плъыжьхэр"
"алыча","ж. I, мн. нет пхъэгулъ альманах, м. II альманах (тхакIуэ щхьэхуэхэм я тхыгъэ зэрыт сборник); литературный альманах литературнэ альманах"
"альпинистский","-ая, -ое альпинист, альпинистский лагерь альпинист лагерь"
"альчик","м. II кIэн; играть в альчики кIэн джэгун"
"алюминиевый","-ая, -ое алюмин; алюминиевая посуда алюмин хьэкъущыкъу"
"алюминий","м. II, мн. нет (хим.) алюмин"
"амбар","м. II амбар"
"амбулатория","ж. I амбулаторие"
"американский","-ая, -ое американскэ; американский ученый американскэ щIэныгъэлI"
"американцы","мн. (ед. ч. американец, м. II; американка, ж. I) американец, Америкам щыпсэу цIыху"
"аммиак","м. II, мн. нет (хим.) аммиак"
"амнистия","ж. I амнистие, суд зытращIыхьам и къуаншагъэр къызэрыхуагъэгъумкIэ къыдэкIа къэрал унафэ"
"анализ","м. II
1. зэпкърыхыныгъэ; анализ художественного произведения художественнэ тхыгъэр зэпкърыхыныгъэ
2. анализ"
"анализировать","I, сов. и несов., что зэпкърыхын; анализировать- литературное произведение литературнэ тхыгъэр зэпкърыхын"
"аналитический","-ая, -ое аналитическэ"
"аналогичный","-ая, -ое ещхь, хуэдэ; аналогичный случай ещхь Iуэхугъуэ; аналогичное решение унафэм хуэдэ"
"анатомический","-ая, -ое анатомическэ, анатомнем ехьэлIа; анатомический атлас анатомическэ атлас"
"анатомия","ж. I, мн. нет анатомие"
"ангина","ж. I ангина, тэмакъыдзэ"
"английский","-ая, -ое английскэ: английский язык инджылыбзэ"
"англичане","мн., род. англичан (ед. ч. англичанин, м. II, англичанка, ж. I) англичанин; Англией щыпсэу цIыху"
"анекдот","м. II анекдот, гушыIэ, ауан зыхэлъ шыпеэ; рассказать анекдот анекдот жыIэн"
"анкета","ж. I анкетэ; заполнить анкету анкетэм итхэн"
"анод","м. II (физ.) анод"
"анонимный","-ая, -ое зытхар, къызыбгъэдэкIыр бзыщIа; анонимное письмо зытхар бзыщIа письмо"
"ансамбль","м. II в разн. знач. ансамбль; ансамбль песни и пляски уэрэдымрэ къафэмкIэ ансамбль; архитектурный ансамбль архитектурнэ ансамбль"
"антагонизм","м. II мн. нет антагонизм (зэкIурабгъу зимыIэ зэныкъуэкъуныгъэ); классовый антагонизм классовэ антагонизм"
"антагонист","м. II, мн. нет ныкъуэкъуэгъу, бий"
"антагонистический","-ая, -ое антагонистическэ; антагонистические противоречия антагонистическэ зэгурымыIуэныгъэхэр"
"антивоенный","-ая, -ое зауэм и бий, зауэ хуэмей; антивоенные выступления зауэм и бийуэ зыкъэIэтыныгъэ"
"антилопа","ж. I антилоп"
"антипатия","ж. I, мн. нет мыгурыхь, мыгуакIуэ"
"антирелигиозный","-ая, -ое диныр зы-мыдэ, диным и бий; антирелигиозная пропаганда диным и бий пропагандэ"
"антисанитарный","-ая, -ое антисанитарна, санитарией и хабзэм къемызэгъ, фIей"
"антифашист","м. II антифашист (фащизмэм и бий бэнакIуэ)"
"античный","-ая, -ое антнчнэ (ижь зэманым щыгъуэ грекхэмрэ римлянхэмрэ я хабзэ, тхыдэ ехьэлIа, епха); античное искусство античнэ искусства"
"антология","ж. I (лит.) антологие (автор зыбжанэм я тхыгъэ нэхъыфIхэр зэрыт сборник) антология советской поэзии советскэ поэзием и антологие"
"антоним","м. II (лит.) антоним (зи мыхьэнэкIэ зэпэщIэуэ псалъэ (псалъэм папщIэ: ин-цIыкIу)"
"антракт","м. II антракт (спектакль, концерт къыщагъэлъагъуэкIэ яшI теувыIэгъуэ, зэпыупIэ)"
"аорта","ж. I (анат.) аортэ (псэущхьэхэм я гу лъынтхуэ нэхъ ин дыдэщ)"
"аплодировать","I, несов., кому-чему Iэгу еуэн; аплодировать докладчику доклад зыщIам Iэгу хуеуэн"
"аплодисменты","тк. мн. Iэгуауэ; бурные аплодисменты Iэгуауэ ин"
"аппарат","м. II
1. аппарат; телефонный аппарат телефон аппарат
2. аппарат; государственный аппарат къэрал аппарат"
"аппетит","м. II, мн. нет аппетит, шхыныр щыкIуэн, шхыныр фIэIэфIын; есть с хорошим аппетитом фIэIэфIу шхын
◊ приятного аппетита! шхыныр гурыхь пщыхъу!"
"аппетитный","-ая, -ое пшхыну хъуэпсэгъуэ; аппетитный пирог пшхыну хъуэясэгъуэ дэлэн"
"апрель","м. II апрель; первое апреля апрелым и зым (илъэсым и еплIанэ мазэ)"
"апрельский","-ая, -ое апрель; апрельский день апрель махуэ"
"аптечка","ж. I аптекэ цIыкIу; дорожная аптечка гъуэгу аптекэ цIыкIу"
"арба","ж. I гу; груженая арба хьэлъэ зэрылъ гу"
"арбуз","м. II хъарбыз; спелый арбуз хъарбыз хъуа"
"аргумент","м. II аргумент, тегъэщIапIэ, щхьэусыгъуэ; веский аргумент мыхьэнэшхуэ зиIэ тегъэщIапIэ; приводить аргументы щхьэусыгъуэхэр къыхуэхьын"
"арена","ж. I
1. зыкъыщагъэлъагъуэ утыку; цирковая арена циркым зыкъыщагъэлъагъуэ утыку
2. перен. къиубыдыр, къызэщIикъуэр; арена деятельности IуэхущIафэхэм къаубыдыр"
"аренда","ж. I, в разн. знач. бэджэид; сдать дом в аренду унэр бэджэнду тын; снизить аренду бэджэндыпщIэм кIэрыгъэхун"
"арест","м. II гъэтIысын, тутнакъым щIэдзэн; взять под арест гъэтIысын"
"арестованный","м. скл. как прил. ягъэтIыса, тутнакъым ис"
"арестовать","I, сов., кого-что гъэтIысын, тутнакъым щIэдзэн"
"арифметика","ж. I, мн. нет арифметикэ"
"арифметический","-ая, -ое арифметическэ; арифметические действия арифметическэ действиехэр"
"армия","ж. I дзэ, армэ; Советская Армия Советскэ Армэр; действующая армия зи IэнатIэ пэрыт дзэ"
"аромат","м. II мэ дахэ; аромат цветов удзхэм я мэ дахэ"
"ароматный","-ая, -ое мэ гуакIуэ зыщыу, къызыпих; ароматный чай мэ гуакIуэ зыщыу шей"
"артезианский","-ая, -ое псынэ куу, псыкъуий; артезианский колодец псынэ куу"
"артель","ж. III артель; сельскохозяйственная артель мэкъумэшхозяйственнэ артель"
"артерия","ж. I анат. артерие, гум къыбгъэдэкI лъынтхуэ"
"артиллерия","ж. I, мн. нет артиллерие; легкая артиллерия артиллерие псыншIэ; тяжелая артиллерия артиллерие хьэлъэ, противотанковая артиллерия танкым зэреуэ артиллерие"
"артист","м. II артист; известный артист артист цIэрыIуэ"
"артистка","ж. I артисткэ, артист цIыхубз"
"археологический","-ая, -ое археологическэ; археологическая экспедиция археологическэ экспедицэ"
"археология","ж. I, мн. нет археологие (ижькIэ щыIа псэукIэу, культурэу цIыхухэм яIар хьэпшып зэмылIэужьы-гъуэхэмкIэ зыджыж наукэщ)"
"архив","м. II архив; сдать в архив архивым етын; архив Пушкина Пушкиным и архив"
"архивный","-ая, -ое архив, архнвым ехьэлIа; архивный материал архив материал"
"архипелаг","м. II архипелаг, тенджызым хэт остров заул"
"архитектура","ж. I, мн. нет архитектура; архитектура здания унэм и архитектура"
"архитектурный","-ая, -ое архитектурнэ; архитектурный институт архитектурнэ институт"
"арык","м. II псыщIэгъэлъадэ кIэнауэ; глубокий арык псышIэгъэлъадэ кIэнауэ куу"
"аспирантура","ж. I мн. нет аспирантурэ, аспирантхэр щеджэ; кончить аспирантуру аспирантурэр къэухын"
"ассистент","м. II ассистент
1. научнэ лэжьыгъэ езыгъэкIуэкI профессорым е дохутырым и дэIэпыкъуэгъу
2. щIэныгъэ нэхъыщхьэ щагъуэт еджапIэм щылажьэ егъэджакIуэ нэхъыщIэ"
"астрономический","-ая, -ое астрономическэ"
"астрономия","ж. I астрономие"
"атака","ж. I атакэ (напIэзыпIэу бийм тезэрыгуэныгъэ); отразить атаку атакэр Iудзын, къызэтегъэувыIэн"
"атаковать","I, сов. и несов., кого-что тезэрыгуэн; атаковать врага бийм тезэрыгуэн, ебгъэрыкIуэн"
"атеист","м. II атеист (диныр зи фIэщ мыхъу)"
"ателье","с. нескл. ателье; ателье мод модэм и ателье"
"атлас","I (´атлас) м. II атлас, географический атлас географическэ атлас
II (атл´ас) м. II алътес"
"атласный","-ая, -ое алътес; атласная подкладка алътес щIэбзэ"
"атлетика","ж. I атлетикэ; легкая атлетика атлетикэ псынщIэ"
"атмосфера","ж. I
1. мн. нет атмосферэ (щIыр къэзыухъуренхь хьэуа)
2. физ. газым и давленэр къызэрапщ единица
3. мн. нет перен. къэзыухъуреихь щытыкIэ; товарищеская атмосфера ныбжьэгъугъэ зэхущытыкIэ"
"атмосферный","-ая, -ое атмосфернэ; атмосферные осадки къешх-къес; атмосферное давление атмосфернэ давленэ"
"атом","м. II (физ.) атом"
"атомный","-ая, -ое атомнэ; атомная электростанция атомнэ электростанц; атомная бомба атомнэ бомбэ"
"аттестат","м. II аттестат (ику ит еджапIэ къызэриухамкIэ тхылъ)"
"аттестовать","I, сов. и несов., кого-что
1. къызэрыфIэщIыр, зэреплъ щIыкIэр жыIэн; аттестовать кого-л. как хорошего работника зыгуэрыр лэжьакIуэфIу къызэрыпфIэщIыр жыIэн
2. хуэфащэ, оценкэ хуэгъэувын; аттестовать ученика еджакIуэм оценкэ хуэгъэувын"
"аудитория","ж. I
1. аудиторие (щеджэ пэш); заниматься в аудитории аудиторией щеджэн
2. собир. лекцэ, доклад едаIуэ цIыхухэр; внимательная аудитория къэпсалъэм гулъытэ хуащIу едаIуэ аудиторие"
"аул","м. II къуажэ"
"афганский","-ая, -ое афган, афганскэ; афганский язык афганыбзэ"
"афоризм","м. II афоризм, псалъэ хъуэр"
"африканский","-ая, -ое африканскэ, африкэм ехьэлIа; африканское растение афрнкэм къыщыкI къэкIыгъэ"
"африканцы","мн. (ед. африканец, м. II; африканка, ж. I) Африкэм щыпсэу"
"ах","межд. ах, уэху; ах, как я устал! Уэху, сыту Iейуэ сеша!"
"ахать","I, несов. уэху жыIэурэ гурылъыр къэIуэтэн"
"ахнуть","I, сов. однокр. к ахать"
"аэропорт","м., II аэропорт"
"баба","ж. I (прост.) фыз
◊ снежная баба уэс гуащэ"
"Баба-Яга","ж. I (фольк.) уд фызыжь"
"бабушка","ж. I
1. анэшхуэ
2. обращ. нанэ"
"багаж","м. II (род. багажа), мн. нет
1. багаж, ежьэм здрихьэжьэ хьэпшып; ручной багаж IэкIэ яIыгъ багаж
2. ж.-д. багаж; сдать вещи в багаж хьэпшыпхэр багажым етын"
"багажник","м. II багажник, хьэлъэ хьэпшып гъэтIылъыпIэ: багажник велосипеда лъакъуэрыгъажэм и хьэлъэ гъэтIылъыпIэ"
"багажный","-ая, -ое багаж; багажный вагон багаж вагон"
"багор","м. II (род. багра) арэф, жьэкIадзэ зиIэ гъущI папцIэ зыфIэлъ къурагъ"
"багровый","-ая, -ое плъыжь-фIыцIафэ; багровый дым пожара мафIэсым къыхиху Iугъуэ плъыжь-фIыцIафэ"
"база","ж. I
1. лъабжьэ; экономическая база экономическэ лъабжьэ
2. базэ; авиационная база авиационнэ базэ; туристическая база турист базэ
3. хьэпшып, ерыскъы щаIыгъ, щахъумэ щIыпIэ; получить продукты на базе ерыскъыр базэм къыщеIыхын"
"базар","м. II бэзэр; колхозный базар колхоз бэзэр"
"базарный","-ая, -ое бэзэр; базарный день бэзэр махуэ"
"базис","м. II базис, лъабжьэ; экономический базис экономическэ лъабжьэ"
"байдарка","ж. I (спорт.) байдаркэ (кхъуафэжьей псынщIэ цIыкIу)"
"бак","м. II бак; бак для воды псы зракIэ бак"
"бал","м. II (предл. о бале, на балу) бал, къыщыфэ джэгу; на балу джэгум"
"балалайка","ж. I Iэпэпшынэ"
"баланс","м. II (фин.) баланс; подвести баланс балансыр зэхуэгъэкIуэн; годовой баланс  илъэс баланс"
"балка","I ж. I (брус) бгыкъу; железная балка гъущI бгыкъу
II ж. I (овраг) къуэкIий"
"балкарский","-ая, -ое балъкъэр, къущхьэ; балкарский язык балъкъэрыбзэ"
"балкарцы","мн. (ед. балкарец, м. II; балкарка, ж. I) балъкъэр, къущхьэ"
"балл","м. II (оценка)
1. балл (цIыхум и Iэзагъыр къыщагъэлъагъуэкIэ хуагъэув оценкэ); высший балл балл нэхъыщхьэ
2. (метеорол.) балл ветер силой в три балла баллищ зи къару жьы"
"баллада","ж. I (лит.) балладэ (усэ лIэужьыгъуэщ)"
"баллотироваться","I, несов. хэхын; он баллотируется в нашем избирательном округе ар ди хэхыпIэ округым шыхах"
"балованный","-ая, -ое гъэфIа; балованный ребенок сабий гъэфIа"
"баловать","I, несов., кого гъэфIэн, щыгъэкIын; баловать детей сабийхэр гъэфIауэ щыгъэкIын"
"баловаться","I, несов. (разг.) зэранын, къуейщIеин; не балуйся! умызэран!"
"бамбук","м. II шамбыр"
"бандероль","ж. III бандероль; отправить книгу бандеролью тхылъыр бандеролу егъэхьын"
"банк","м. II банк; государственный банк къэрал банк"
"банка","ж. I банк; стеклянная банка абдж банк; консервная банка консерв банк; ставить банки банк тегъэувэн"
"бант","м. II бант, щхьэцпыщIэ; девочка с бантом в косах зи щхьэцым щхьэцпыщIэ хэлъ хъыджэбз цIыкIу"
"баня","ж. I хьэмэм; истопить баню хьэмэмыр гъэплъын"
"барабан","м. II бэрэбан; бить в барабан бэрэбаным еуэн"
"барабанить","II
1. несов. (бить в барабан) бэрэбан еуэн
2. (разг.) ину теуIуэн, текъутэн; барабанить в дверь бжэр текъутэн"
"барабанный","-ая, -ое барабан; барабанный бой барабанауэ, бэрэбан макъ; барабанная перепонка тхьэкIумэIупс"
"барабанщик","м. II бэрэбэнауэ"
"баран","м. II мэл"
"бараний","-ья, -ье мэл, тIы; бараний жир мэлыщэ"
"баранина","ж. I, мн. нет мэлыл"
"баранка","ж. I хьэлыгъуанэ; связка баранок хьэлыгъуанэ благъэ"
"барашек","м. II (род. барашка)
1. уменьш.-ласк. к баран
2. (ягненок) щынэ
3. мн. нет (шкурка) хъурыфэ, щынафэ"
"барбарис","м. II, мн. нет къатхъэнсулыкъу (кустарник ягоды) (къатхъэнсулыкъу къызыпыкIэ чыцэ)"
"баржа","ж. I баржэ, кхъухьым кIэрыщIа хьэлъэзешэ"
"барин","м. II (мн. баре и бары)
1. уст. барин, зиусхьэн
2. перен. (разг.) зиусхьэн"
"баритон","м. II баритон, макъ гъумымрэ псыгъуэрмэ яку ит цIыхухъу макъ"
"баркас","м. II баркас (кхъуафэжьей, мотор тету е темыту)"
"барометр","м. II барометр (дунейр бзыгъэрэ уфарэ къызэрапщытэ Iэмэпсымэ)"
"барс","м. II барс, щомыщ"
"барский","-ая, -ое знусхьэн: барский дом знусхьэн унэ"
"барсук","м. II (род. барсука) уашхэ"
"бархат","м. II къэдабэ"
"бархатный","-ая, -ое къэдабэ; бархатное платье къэдабэ бостей"
"барщина","ж. I, мн. нет (ист.) барщинэ, лъэщыгъэкIэ пщIэншэу пщылIхэр помещикым и щIым телэжьыхьыныгъэ"
"барыня","ж. I
1. (уст.) гуащэ, зиусхьэн цIыхубз
2. перен. зиусхьэн (цIыхубз)"
"барьер","м. II елъапIэ, лъэпощхьэпо"
"бас","м. II бас (цIыхухъу макъ гъум)"
"баснописец","м. II (род. баснописца) басня зытх"
"басня","ж. I
1. лит. басня, хъуэрыбзэкIэ тхауэ ущие зыхэлъ усэ тхыгъэ кIэщI
2. чаще мн. басни (выдумки) шыпсэ таурыхъ"
"бассейн","м. II
1. бассейн; бассейн для плавания щес бассейн
2. (геогр.) псыхъуэ, псы гуэжхэр щызэхэлъэдэж щIылIэ; бассейн реки Волги Волгэ псыежэхым и псыхъуэ
3. хъугъуэфIыгъуэхэр здыщIэлъ щIыпIэ; каменноугольный бассейн мывэ фIамыщI здыщIэлъ щIыпIэ"
"бастовать","I несов. забастовкэ къэIэтын"
"батальон","м. II батальон; пехотный батальон лъэсыдзэ батальон"
"батарея","ж. I
1. (воен.) батарей; артиллерийская батарея топ батарей
2. (эл.), (тех.) батарей; батарея парового отопления бахъэкIэ зэрагъэплъ батарей"
"батон","м. II
1. (белый хлеб) щIакхъуэ хужь
2. батон; шоколадный батон шоколад батон"
"батрак","м. (род. батрака) лIыщIэ"
"батрачить","II, несов. лIыщIэн, лIыщIэу къэкIухьын"
"батрачка","ж. I женск. к батрак"
"бахрома","ж. I, мн. нет кхъуакIэ"
"бахча","ж. I хъарбызыпкъэ"
"бахчеводство","с. II, мн. нет хъарбыз фонащэ гъэкIыным елэжьыныгъэ"
"башкирский","-ая, -ое башкир, башкирскэ; башкирский язык башкирыбзэ"
"башкиры","мн., (род. башкир) (ед. башкир, м. II, башкирка ж. I) башкир"
"башлык","м. II (род. башлыка) бащлъыкъ"
"башмаки","мн. (ед. башмак, м. II) бэщмакъ"
"башня","ж. I чэщанэ"
"баюкать","I, несов., кого гъэудэIун, гъэжеин; баюкать ребенка сабийр гъэжеин"
"баян","м. II баян (пшынэ)"
"баянист","м. II баянист (пшынауэ)"
"бдительность","ж. III, мн. нет сакъыныгъэ; проявить бдительность сакъын, сакъыу зэрышытыр къэгъэлъэгъуэн"
"бдительный","-ая, -ое сакъ; будьте бдительны! сакъыу фыщыт!"
"бег","м. II (предл. о беге, на бегу)
1. мн. нет жэныгъэ; на бегу жэрыгъэкIэ
2. мн. бега (спорт.) шыгъажэ; принимать участие в бегах шыгъажэм хэтын
◊ в бегах зэхэзежэн, къэжыхьын: а) весь день прошел в бегах махуэ псор дызэхэзежэу кIуащ б) быть в бегах къэжыхьын, зэхэзежэн"
"бегать","I, несов. къэжыхьын; бегать наперегонки къызэдэжэн; бегать туда-сюда адэкIэ-мыдэкIэ жэн"
"беглец","м. II (род. беглеца) щIэпхъуэжа, кIуэсэжа"
