"#name","Адыгабзэм изэхэф гущыIалъ (Ady) (western)"
"акъыл","(акъылыр)
ум
ЦIыфыр гупшысэн ылъэкIыныгъ, зэхэшIыкI
Иакъыл тефагъэп
Шъхьэм акъыл имылъмэ, лъэр мэулэу гущ.
Зы акъыл нахьи акъылитIу гущ.
Акъылыр — намыс, былымыр — насып гущ.
◊ Акъыл кIаку — короткий ум
◊ Акъыл закъу — короткий ум, не считающийся с мнением других
◊ Акъыл балыгъ хъугъэ — стал совершеннолетним"
"акъылыгъ","(акъылыгъэр)
разум, разумность
Iушыгъ
Ащ зи акъылыгъэ хэлъэп
АкъылыгъэкIэ ащ утекIощтэп"
"акъылынчъ","(акъылынчъэр, акъылынчъэхэр)
глупый, -ая, -ое, неразумный, -ая, -ое
Акъыл зимыI, зэхэшIыкI зимыI
Акъылынчъэр тхьамыкI
Юсыф акъылынчъагъэп КI. Т."
"акъылынчъагъ","(акъылынчъагъэр, акъылынчъагъэхэр)
глупость, неразумность
ЗэхэмышIыкIыныгъ, делагъ
Ар акъылыгъэп, акъылынчъагъэ нахь"
"акъылышIу","(акъылышIур, акъылышIухэр)
умный, -ая, -ое
ЗэхэшIыкI зиI, гулъытэ зиI
Ар боу акъылышIу, губзыгъ"
"акъылышIугъ","(акъылышIугъэр)
разумность къып. <<акъылынчъагъ>>
АкъылышIугъэкIэ ар ахэмэ афэдэп"
"акъылэгъу","советчик
Джэнджэшэгъу, Iофым дегупшысэрэр, деусэрэр
Акъылэгъу фэхъугъ
Акъылэгъу цIыфхэр зэфэмыхъумэ, хъун закIэ зы нэбгырэм къыгъотрэп гущ."
"ал","гущыIэгъус
1. выражает приказание с оттенком угрозы
Ал, зэ щыгъэт
Ал, зэ зэIун
2. выражает удивление
Ал, ар пIо хъуна?"
"алам-астэм","(алам-астэмыр)
исключительно радушный, -ая, -ое, гостеприимный, -ая, -ое
Нэгу ихыгъэу, адыгэ хабзэм лъэшэу пылъыныр
Лъэшэу алам-астэмкIэ къытпэгъокIыгъ"
"алахь","(алахьэр)
Аллах
Тхьэ
Алахьэм симыукIи, ар пшIэрэба?"
"алахь-алахь","межд
1. выражает восторг
Лъэшэу игуапэу
Алахь-алахь, боу дэгъу
Алахь-алахь, боу сигопэн
2. выражает насмешку
КIэнакIэу
Алахь-алахь, лъэшэу сыбгъэгумэкIын о укъэмыкIокIэ"
"алашэ","(алашэр, алашэхэр)
мерин
Шыушэу щымытэу, кIашIэу Iоф зэрашIэрэ шы сэкIыгъ
Алашэм тес"
"алебастр","(алебастрэр)
алебастр
Гипс фыжь пхъапхъэу псэолъэшIынымкIэ агъэфедэрэр
Зэгочыгъэхэм алебастр ащифагъ"
"алимент","(алиментыр, алиментхэр)
алименты
Зыныбжь имыкъугъэ сабыйхэу, шъхьафэу щыIэхэр рапIунхэу ятэ ахъщэу аритырэр
Алимент реты"
"алмаз","(алмазыр, алмазхэр)
алмаз
1. Мыжъо лъэпIэ лъэпкъ
Алмаз исэу дышъэ Iэлъын
2. Апчхэр зэрабзырэ Iэмэ-псым
Апчхалъхьэм алмазымкIэ апчыр ыбзыгъ"
"алп","(алпыр, алпхэр)
название породы сказочных коней
Шы пхъэшэ бэлахьэу пшысэмэ къахэфэ
Ащ иш алпым фэд
Алп лъэпкъ"
"алрэгъу","(алрэгъур, алрэгъухэр)
ковер
Цым е нэмыкIым хэшIыкIыгъэу, сурэтхэр, тхыпхъэхэр зэрышIыхьагъэу, унэ дэпкъхэр рагъэкIэрэкIэным джэхашъомэ атрадзэным пае агъэпсэуалъэрэр
Алрэгъур дэпкъым еIулIыгъ
Алрэгъу дахэ къыщэфыгъ"
"алтэс","(алтэсыр, алтэсхэр)
атлас
Дэнэ шэкI лъэпкъ
Алтэсыр нахьыбэмкIэ кIэбзапхъэ ашIы
Алтэс кIэбзагъэу палътэу"
"алфавит","(алфавитыр, алфавитхэр)
алфавит
Iелфыбэ
Адыгэ алфавит
Урыс алфавит"
"алюмин","(алюминыр)
алюминий
ФытэгъошIоу, псынкIэу щыт металл фыжь
Алюмин кастрюль, алюмин щайныч"
"альбом","(альбомыр, альбомхэр)
альбом
Усэхэр, сурэтхэр е коллекциехэр зыдэлъ тхылъ
Портретхэр альбомым дэлъых
Фотоальбом"
"альманах","(альманахыр, альманаххэр)
альманах
ТхэкIо зафэшъхьафмэ ятхыгъэхэр дэтэу пIэлъэ гъэнэфагъэ имыIэу къыдэкIырэ журнал
Альманахыр къыдэкIыгъ"
"амал","(амалыр, амалхэр)
1. умение, возможность
ШIыкIэ
Предприятием нахьышIоу Iоф зэришIэным иамал пстэури зэрехьэ
2. помощь
дэIэпыIэн
Амал фэхъугъ
Узыфае щыIэмэ, сэ сыамал П. М.
◊ Амал закI — мастер на все руки
◊ Амал иIэп — нет возможности"
"амалынчъ","(амалынчъэр, амалынчъэхэр)
беспомощный, -ая, -ое
Амал зимыI, шIыкIэ зимыI
Амалынчъэ цIыф
ЛIэныгъэр амалынчъэ Iоф"
"амалцыз","(амалцызыр, амалцызхэр)
еплъ <<амалынчъ>>"
"амбат","(амбатыр, амбатхэр)
копна
Iагом нахь иныIоу, Iатэм нэмысэу зэтелъхьагъэр ары
Мэкъур амбатэу зэтралъхьагъ"
"амбулаторие","(амбулаториер, амбулаториехэр)
амбулатория
Сымэджэ лъэртетхэр кIохэзэ зыщяIазэхэрэ IазапI
Амбулаторием Iоф ешIэ
Амбулаторием кIуагъэ"
"амбыр","мыжъом емыхьылIагъэу къаIорэп. Употребляется только в сочетании со словом мыжъо — камень
Мыжъо онтэгъу дэдэ лъэпкъ
Амбыр мыжъомэ сшIэрэп, нахь онтэгъу слъэгъугъэп"
"амдэз","(амдэзыр)
омовение
Нэмаз ашIын хъумэ зызэратхьакIырэ шIыкIэр
Амдэз ыштагъ"
"амкIышъ","
(амкIышъэр, амкIышъэхэр)
соловей
БзыуцIэ
Ядэ, ядэ, анахьыжъ.— Сыд себгъадэра? — АмкIышъэрэ дышъэ уанэрэ
КIалэхэр купитIоу джэгунхэ хъумэ, къызызэлхэкIэ аIо хабзэ"
"амнистие","(амнистиер)
амнистия
Судым тырилъхьагъэр апшъэрэ унэшъошI органым тырихыныр е нахь макIэ, нахь псынкIэ фишIыныр
ХьапсчIэсыр амнистием къыхагъэфагъ"
"амылкъан","(амылкъаныр, амылкъанхэр)
бязь
ШэкI фыжь лъэпкъ
Амылкъан къащагъ
Амылкъан джэнэ-гъончэдж
Амылкъан лъэкъоещэкI"
"ан","(анэр, анэхэр)
1. мать
Ны
Анэ-атэ иIэп
2. старая курица
Чэт ан
Псычэт ан
Тхьачэт анэ къэсщэфыгъ"
"анай","(анаир, анайхэр)
клен
Пхъэ лъэпкъ
Анаим ипытэхэр икушъэ нэтIитIоу, щэмбарым идахэхэр икушъэ бэщэу... (Нарт Пэтэрэз)"
"анакIэ","(анакIэр, анакIэхэр)
молодая курица
Чэт анакI, чэтыкIэ
Чэт анакIэрэ фыкIэ пIастэрэ аIуагъ"
"анатомие","(анатомиер)
анатомия
Пкъышъолмэ ягъэпсыкIэ ехьылIэгъэ шIэныгъ
Псэушъхьэмэ яхьылIэгъэ анатомиер
КъэкIырэмэ яхьылIэгъэ анатомиер"
"анахьэу","особенно
Нахь къыхэщэу
Анахьэу ар зыфэягъэр еджакIо кIоныр ары"
"ангин","(ангинэр)
ангина
Чый уз
Ангинэ къеузыгъ
АнгинэкIэ сымадж"
"анджырэф","(анджырэфыр, анджырэфхэр)
куриное просо
ПхъэнкIыпхъэ ашIырэр
Анджырэфыр бэгъуагъэ
Хатэм анджырэф дэт
◊ Анджырэф шъоу — сахарный тростник
Шъоу зыхашIыкIырэ анджырэф"
"анкет","(анкетэр, анкетэхэр)
анкета
1. УпчIэмэ яджэуапхэр зэраугъоирэ шъошэ гъэнэфагъэр
2. Ахэм афэдэ упчIэхэр зэрыт тхьапэри ары
Анкетэр ытхыгъ"
"анонимнэ","(анонимнэр, анонимнэхэр)
анонимный, -ая, -ое
Зытхыгъэм ыцIэ кIэмытхагъэу атхыгъэ тхылъ
Анонимнэ письмэ
Анонимнэ заявление"
"ансамбль","(ансамблыр, ансамбльхэр)
ансамбль
Къэшъоным, орэд къэIоным, пщынэеоным фэгъэсэгъэ куп зэхэт
Адыгэ ансамблыр"
"антенн","(антеннэр, антеннэхэр)
антенна
Радио орхэр къыубытыным пае е радиомкIэ атыным пае унашъхьэмэ е нэмыкIмэ атырагъэуцорэ гъэIагъ
КIалэм радиоприемник къыщэфыгъэти иунэ антеннэ тыригъэуцуагъ"
"антракт","(антрактыр, антрактхэр)
антракт
Спектаклым е концертым иедзыгъомэ азыфагу щашIырэ зэпыугъу
Антрактыр зеухым одыджыным къытеуагъ"
"анэжъ","(анэжъыр, анэжъхэр)
курица (старше одного года) къып. <<анакIэ>>
Чэт анэжъ
Тхьачэт анэжъым къырищыгъ"
"анэпIашъ","(анэпIашъэр, анэпIашъэхэр)
прабабушка
Янэжъым ян
Ащ янэпIашъэ боу ныо дэгъугъ"
"анэш","(анэшыр, анэшхэр)
дядя или двоюродный брат по материнской линии: брат матери и его сыновья
Ным ыш е ным ышым ыкъу
Анэш кIэлэ дэгъу иI
Шъузым янэш къэкIуагъ"
"анэшыпхъу","(анэшыпхъур, анэшыпхъухэр)
тетя по материнской линии
Ным ышыпхъу
КIалэм е пшъашъэм янэшыпхъу
Янэшыпхъур къэкIуагъ
Янэшыпхъум дэжь кIуагъэ"
"апелляцие","(апелляциер, апелляциехэр)
апелляция
Судым ыIогъэ Iофым урымыразэу ыпшъэ щыIэ судым тхьаусхэ тхылъ ептыныр
ИIоф хэплъэнхэу апелляцие ытыгъ"
"апельсин","(апельсиныр, апельсинхэр)
апельсин
1. Апельсиныр къызпыкIэрэ чъыгыр
Апельсиным ытхьапэхэр шхъонтIэ зэпытхэу, мэ IэшIу зыпихырэ къэгъэгъэ фыжь шъабэхэр пытэу щыт
2. Апельсин чъыгым къыпыкIэрэ пхъэшъхьэ-мышъхьэр
Апельсин тучаным щащэ
Мыгъэ апельсиныр бэгъуагъэ"
"аппарат","(аппаратыр, аппаратхэр)
аппарат
1. прибор
Телефон аппарат
Фотоаппарат
2. Пкъышъолым ифункцие гъэнэфагъэхэр зыгъэцэкIэрэ пкъынэлынэ зэхэтхэр: Шхыныр зыгъэткIурэ аппарат
3. IофшIапIэхэр, IофшIапIэм е организацием иIофышIэхэр
Iоф ышIэным тегъэпсыхьэгъэ аппарат
Суд аппарат"
"аппендицит","(аппендицитыр)
аппендицит
КIэтIый нэшъу уз
Аппендицит иIэти абзагъ"
"аппетит","(аппетитыр)
аппетит
Шхэным уфэблэныр
Аппетитышхо иI"
"апрель","(апрелыр)
апрель
МэзацIэ
Календарнэ илъэсым ияплIэнэрэ маз
Апрелыр мэлыжъыхь гущ.
Апрелым мэкъу хьынибл фэгъэтIылъ гущ."
"апс","(апсыр, апсхэр)
деревянная миска
Пхъэм хэшIыкIыгъэ шыкъу
Апсым щхыу гъэпцIагъэ ит
Апс къахьи, Iахьэ остын"
"апсышI","(апсышIыр, апсышIхэр)
специалист по изготовлению деревянных мисок
Апсхэр зышIырэр
АпсышIыр апс ныкъокIэ машхэ гущ."
"аптек","(аптекэр, аптекэхэр)
аптека
Iэзэгъу уцхэр зыщащэрэ, зыщагъэхьазырырэ IофшIапI
Аптекэр зэIухыгъ
Аптекэм сыкIуагъ"
"апч","(апчыр, апчхэр)
1. стекло
Шъхьангъупчъэ апч
Нэгъунджэ апч
Апчым хашIыкIырэр бэ
2. бжъ. бутылка
Бэшэрэб
Апчым ит
Апчым из"
"апчхалъхь","(апчхалъхьэр, апчхалъхьэхэр)
стекольщик
Шъхьангъупчъэмэ, нэмыкIмэ апч ахэзылъхьэу ар зиIэнатIэр
Апчхалъхъэм къекIухьэ
Апчхалъхьэм апчыр ебзы"
"апчшъхьэтет","(апчшъхьэтетыр, апчшъхьэтетхэр)
ламповое стекло
Остыгъэшъхьэтет, остыгъэм ышъхьэ тырагъэуцорэ апчыр ары
Апчшъхьэтетыр къутагъэ
Апчшъхьэтетыр лыцIагъэ"
"апщ","(изакъоу къаIорэп)
Вежливое обращение к собеседнику еплъ <<бэхъу апщи>>
Тхьауегъэпсэу, тызэдежь апщ!
Гухахъо ошх апщи!
◊ Гъэбэжъу огъот апщ! — Пусть уберешь ты богатый урожай!
◊ Гъогу мафэ уежь апщ! — Да будет счастлив начатый тобой путь!"
"апщи","еплъ <<апщ>>"
"апэ","нареч.
1. сначала
НахьыпэрапшIэу хъурэр къызэрыкIырэр
Апэ зэгъашIи етIанэ рыгущыI
2. впереди, в первую очередь
Ар апэ шIыгъэн фэе Iоф
Ар пстэуми ап"
