template,freq
къыщи*,284
*кIыу,284
*ркъым,283
*ыжащ,282
хьэ*,281
*эурэ,279
С*,278
П*,277
Е*,274
*энущ,273
зыхуэ*,272
*кIащ,269
*эмрэ,269
*щIэу,269
*лъ,269
*нущ,268
Зэ*,268
Зы*,268
дыкъ*,268
*нщ,267
Къэ*,266
*экъым,266
къра*,265
Я*,265
*ртэкъым,265
*эжу,265
сыкъы*,265
*хьауэ,264
сы*къым,264
къ*эу,264
*кIуэ,262
къызэ*,262
*рщ,261
*ыным,261
зэры*р,260
уа*,260
къигъэ*,260
*хэ,259
*ырщ,258
къыте*,258
зыху*,258
дызэ*,256
*жьым,255
къы*э,255
къ*р,255
къ*ым,254
*эным,253
къ*урэ,253
къ*хэр,251
къ*ыр,251
бгъэ*,250
къы*къым,250
имы*,249
зи*,248
*щIащ,248
зэхэ*,247
хуи*,245
*щIу,244
щхьэ*,242
къ*рт,242
дызэры*,241
*хуэ,241
я*у,240
гу*,240
де*,240
къысхуэ*,238
къы*щ,237
*эныр,237
*нкIэ,236
*ынур,236
сы*щ,235
*нэ,234
къэзы*,232
*пIэ,232
гъэ*,232
щызэ*,231
къызэри*,231
яху*,231
*хуа,231
*щ…,230
къытху*,230
*ыныр,229
*щIэм,229
*щIэр,229
*жьыр,228
Къа*,228
къ*эну,228
къы*мэ,227
зыщI*,226
*ныр,225
*рат,225
*кIа,224
у*щ,223
*хьэри,222
Щы*,222
*щIар,222
*энур,222
фIэ*,220
къы*ам,219
къы*рэ,219
сыщI*,219
*щIауэ,218
*эжыну,218
лъэ*,217
*арэ,215
*с,215
*итI,213
укъы*,213
къ*м,212
къы*т,211
*жа,211
*хьу,210
къэс*,209
къ*и,208
*эхэри,208
кIу*,207
*хьар,207
ирагъэ*,206
*эжри,206
*хуащ,205
*эжын,205
умы*,204
*х,204
згъэ*,204
къ*акъым,204
*ынкIэ,203
пэ*,203
*нур,203
*хэщ,203
зы*у,202
ф*,202
Хьэ*,201
щI*ри,201
къ*ыну,200
къы*ым,200
*жыну,199
Мы*,199
*ей,198
*хыу,198
*эжа,198
ха*,197
зэре*,196
*шхуэм,195
къы*р,195
у*къым,195
*фI,194
сызэры*,194
йо*,193
*жырт,193
*кIыну,193
къ*ырт,193
*эжауэ,193
къыпхуэ*,192
зэры*м,191
*хъу,191
*эркъым,191
*жри,191
хь*,191
уи*,190
д*,190
*хэрт,189
*хьэну,188
къызы*,188
къыща*,188
дыщы*,188
*кIауэ,188
къаху*,188
сымы*,187
къы*ми,187
зэщI*,187
*итIым,186
*ырти,186
*ыжри,186
*жын,186
сыкъэ*,185
и*къым,183
хуа*,182
*щIыр,182
*жауэ,182
схуэ*,181
*ыртэкъым,180
*лъэ,180
къы*м,180
хи*,180
илъ*,180
*хуу,179
сы*ри,176
къытхуэ*,176
*хьэн,176
зэ*у,175
къыхэ*,175
къ*ами,175
ды*у,173
три*,173
*ыжыну,173
къ*эн,173
къ*амэ,172
Т*,171
къы*рт,171
къы*ыр,170
зэры*ар,169
до*,169
*лъу,169
узы*,169
сы*ащ,168
*шхуэр,168
зэхуэ*,168
къы*эу,168
зэфI*,168
Гу*,167
зе*,167
и*ым,167
*ыжын,166
у*рэ,166
къ*эри,166
Зэры*,165
*кIыр,165
я*къым,165
ны*,165
къыпху*,165
А*,164
*хьэм,164
зэры*ыр,163
кIэ*,163
пхуэ*,162
у*э,162
къэп*,161
егъэ*,160
шы*,160
зригъэ*,160
къагъэ*,160
къы*ат,160
*тI,160
*экI,160
Мэ*,159
*рэт,159
къ*кIэ,159
лI*,159
*итIыр,158
*эмкIэ,158
ущы*,158
сызы*,158
зы*ри,157
*эхэмрэ,157
щхь*,157
*пIэм,156
*атэкъым,156
*хьэр,155
сыщIэ*,155
пы*,155
*хьам,155
*ыу,154
*у…,154
къ*ын,154
къ*ащи,154
лъа*,154
къ*ати,154
*хуэу,153
*ащ…,152
и*у,152
къахуэ*,152
плъ*,152
емы*,151
*хуауэ,151
Нэ*,149
*кIуэу,149
*ыжа,148
*кIар,148
*ынт,147
*ыху,147
Къи*,147
*ншэу,147
*хукIэ,147
щI*у,147
къ*эр,147
*хуэр,146
Фы*,146
ма*,146
зэте*,146
*лъыр,146
уе*,145
сри*,145
IэщI*,145
*са,144
узэры*,144
б*,144
ухуэ*,144
*хауэ,144
дыщI*,144
еп*,144
къэ*у,143
зри*,143
*эрти,143
*гъуэ,142
щы*кIэ,142
къригъэ*,142
*нт,142
*ыжауэ,142
къ*ну,142
къыщ*,142
пщI*,142
*ейуэ,141
Б*,141
къы*урэ,141
къы*хэм,141
па*,141
ущI*,141
къыфI*,141
Къыс*,141
щы*ым,140
*хри,140
жы*,140
*хуэм,140
*хащ,140
*энт,140
щыщI*,140
фыкъ*,140
зэры*ым,139
сы*мэ,139
ямы*,139
*пIэр,139
*тIым,139
цIыху*,139
сып*,139
що*,138
*хъуэ,138
укъэ*,138
къимы*,138
*ышхуэ,137
ире*,137
у*ым,137
дыкъы*,137
*хуар,137
дгъэ*,137
*эху,137
*энкIэ,136
щы*м,136
ищI*,136
тра*,136
къыщIи*,136
*щIэну,136
къ*…,136
уэ*,136
къ*ахэм,136
зэры*у,135
къыхуи*,135
ды*щ,135
сыхуэ*,135
*щIам,135
псы*,133
зэригъэ*,133
*лъа,133
*хьыр,133
*ынут,133
ури*,133
*щIри,133
иу*,132
къэз*,132
*амрэ,132
у*ри,132
сыкъи*,132
зэры*ри,131
дызы*,131
зэщIэ*,131
зы*р,130
ще*,130
щигъэ*,130
*кIын,130
у*ми,130
*лъэу,129
Къе*,129
на*,129
къалъ*,129
*кIуэр,129
къа*у,128
ЩIэ*,128
ялъ*,128
къы*хэр,128
*щIын,128
*жыр,127
*жьу,127
*хэращ,127
*шэ,127
*ха,127
къ*ху,127
къыда*,126
*нут,126
*кI,126
жь*,126
къыз*,126
къ*эрт,126
*хьат,126
зра*,125
къыди*,125
къ*эм,125
*ынукъым,124
Са*,124
здэ*,124
сху*,124
къы*и,124
*шхуэу,123
*къыми,123
зыте*,123
*щIыну,123
ды*къым,123
яхэ*,123
*жьа,123
къ*хьа,123
*щIэн,122
сы*ым,122
къы*эну,122
*тIыр,122
къилъ*,122
У*у,121
*щIым,121
зэрызэ*,121
мы*у,120
*эрщ,120
къызэра*,120
м*,120
ящI*,120
*энукъым,120
*хур,119
я*щ,119
*атэмэ,119
Ху*,119
ды*ащ,118
къыхуа*,118
*лъхьэ,118
сыху*,118
*лъым,117
Да*,117
Хуэ*,117
*кIуа,117
Хэ*,117
*лъащ,117
зэрыщI*,117
*хьэжащ,116
*ейм,116
*жьэ,116
у*кIэ,116
я*ым,116
къы*кIэ,116
зыкъ*,116
зэрыхуэ*,116
*хьэж,116
сы*т,115
*щIэхэр,115
*сащ,115
къызэре*,115
Ма*,115
а*,114
*хэт,114
зигъэ*,114
и*ри,114
щI*р,114
сигъэ*,114
*кIуэм,114
*жьащ,114
и*щ,113
къы*ырт,113
*эхэми,113
зэрагъэ*,113
у*а,113
*кIырт,113
къэкIу*,113
зы*а,112
зэрымы*,112
Те*,112
щагъэ*,112
*экIыу,112
къы*ыну,111
*ни,111
щыт*,111
зыщи*,111
с*къым,111
*хьри,111
езгъэ*,111
*лъэм,111
*хъуащ,111
зэпы*,110
*-тIэ,110
къыу*,110
я*ри,109
*ыжырт,109
хуэмы*,109
щыс*,109
*нукъым,109
ущIэ*,109
къуэ*,109
*къым…,109
слъ*,109
*ущ,108
*на,108
*та,108
*.,108
пху*,108
*лъагъу,108
*кIам,108
тI*,108
*акъэ,107
*ейр,107
*тыр,107
*жынщ,107
тхуэ*,107
къыс*у,107
къэт*,107
*аи,107
*лIэ,107
нэхъы*,107
къыще*,106
*хыну,106
*хым,106
щы*у,106
Се*,106
зэры*ам,106
къы*эри,106
къыф*,106
къ*хьащ,106
къ*хьэ,106
къ*н,106
ку*,106
*жьхэм,105
*жьхэр,105
*кIри,105
къы*эр,105
*ш,105
*су,105
у*и,105
къ*ти,105
ху*у,105
лэжь*,105
зэримы*,104
кърагъэ*,104
укъи*,104
*гъуэр,104
*хум,104
з*,104
*ауи,104
*эртэкъым,104
къыкъу*,104
Со*,103
хуэ*у,103
*нум,103
уху*,103
кIэлъы*,103
сы*ауэ,102
*хьын,102
*ша,102
*агъу,102
щI*щ,102
къ*кIащ,102
пI*,102
къа*къым,101
*дзэ,101
къытри*,101
у*эу,101
къ*кIыу,101
у*т,100
къысхуи*,100
*къуэ,100
*ра,100
*хуи,100
ды*ри,100
с*ым,100
къ*хэри,100
къыщIы*,100
цI*,100
къы*эм,99
къы*хьэ,99
къ*рти,99
къ*жащ,99
*фэ,98
яхуи*,98
*хури,98
щI*ыр,98
п*у,98
яу*,97
*мкIи,97
*ахэщ,97
*фыну,97
*жынущ,97
сы*э,97
*хын,97
*щIэри,97
*эжмэ,97
*экIащ,97
къ*эжащ,97
Сы*у,96
дигъэ*,96
сыкъ*у,96
гъу*,96
*пIэу,96
*амкIэ,96
*хьэрт,96
*эжынщ,96
щып*,96
къ*ари,96
къеп*,96
*ынщи,95
*гъуэм,95
*лъэр,95
у*м,95
къыб*,95
*тэм,95
хэп*,95
*жым,94
*т…,94
*ту,94
*хьи,94
*ыкI,94
ху*къым,94
щыху*,94
*шащ,94
*сар,94
тху*,94
сщI*,94
*хъуу,94
*сыр,94
*хуам,94
*эжым,94
*энут,94
къ*эж,94
къызо*,93
и*т,93
унэ*,93
*жат,93
*ынум,93
зэфIэ*,93
къыIу*,93
*плъэ,93
пщы*,93
*хьэмэ,93
зылъ*,93
къыпэ*,93
хуэ*къым,92
зы*хэм,92
*ыфу,92
къы*…,92
*экIи,92
къыха*,92
зэхи*,92
*эжыр,92
къ*эмэ,92
зэ*ри,91
къы*акъым,91
*ншэ,91
*плъ,91
*гъуэт,91
*хыр,91
*р…,91
къыд*,91
хуэ*ым,91
*щIи,91
ды*ым,91
*ыжат,91
зэха*,91
къыхи*,91
къэмы*,91
*эжырт,91
къ*ыжащ,91
цIы*,91
*тэмэ,90
*хыж,90
*сым,90
ар*,90
едгъэ*,90
щI*ар,90
фа*,90
къ*кIа,90
укъ*у,90
Щ*,90
*ыжынщ,89
*тым,89
*нкIи,89
дри*,89
*фын,89
у*р,89
зыщIэ*,89
къащы*,89
ус*,89
*лIа,89
къызэры*р,88
зэры*эр,88
къуа*,88
*кIат,88
къ*ахэр,88
щы*щ,87
къыщыс*,87
*ф,87
*хэрат,87
щымы*,87
имыгъэ*,87
псэ*,87
къэ*ри,87
ху*ри,87
къы*эн,87
къыс*къым,87
*хъуэу,87
*кIуащ,87
*кIуар,87
ес*,87
къ*ынущ,87
Сыкъ*,87
зыкъи*,86
*ейри,86
*ищ,86
я*т,86
къы*ху,86
къэ*ым,86
*хьыну,86
у*ар,86
*лъри,86
*экIа,86
зэрыху*,86
къ*ртэкъым,86
псалъ*,86
с*у,85
сыкъа*,85
*ыф,85
къ*уэ,85
къ*ыркъым,85
*ыжыр,85
зэху*,85
къащI*,85
*энщи,85
зэрыщы*,84
*хьакъым,84
*кэ,84
*хъумэ,84
*гъуэу,84
къызэры*ар,84
зыхэ*,84
дыкъэ*,84
у*ащ,84
Къып*,84
ип*,84
къ*ынщ,84
сфIэ*,84
щIэп*,84
*л,83
*жьэу,83
къы*ами,83
зэп*,83
къ*хь,83
дымы*,82
*шхуэхэр,82
къэ*а,82
*эуи,82
къи*ым,82
зыщы*,82
дыхуэ*,82
*щу,82
къыщI*ар,82
къа*ри,81
Дэ*,81
*зауэ,81
*фу,81
*хуэри,81
*ыжмэ,81
къы*ну,81
къ*щи,81
къылъ*,81
*кIыурэ,81
сыдэ*,81
Лъэ*,81
*эф,81
я*э,81
къы*хьа,81
*энум,81
*лIащ,81
къ*ркъым,81
кIуэ*,81
яфIэ*,81
хо*,80
*агъэнщ,80
зэры*рэ,80
уо*,80
*акIэ,80
*ым…,80
къэзыгъэ*,80
къэд*,80
ебгъэ*,80
зы*ащ,80
тхь*,80
зрагъэ*,80
*кIуэну,80
*хъуа,80
нэхъ*,80
къ*ыным,80
къ*эрэ,80
хы*,80
зэ*щ,79
Жы*,79
*Iэ,79
*пэ,79
*пс,79
*щIэрт,79
*тэ,79
дыщIэ*,79
зы*щ,79
*мэ…,79
сыкъ*ащ,79
екIу*,79
*хьырт,79
*д,79
*хьэрэ,79
*эгъуа,79
*энуи,79
*лIауэ,79
къ*нущ,79
*ыгъуэ,78
къызи*,78
хуэс*,78
*шу,78
*кIэрэ,78
*ахэри,78
*кIэм,78
*сауэ,78
Ар*,78
*ри…,78
къи*къым,78
т*у,78
къызэрыс*,78
къы*ащи,78
*фIэ,78
Си*,77
къы*амэ,77
зы*ауэ,77
у*ауэ,77
щIы*р,77
*утэкъым,77
лъэпкъ*,77
Шы*,77
къ*ыжу,77
ды*мэ,77
Iуэху*,77
*кIуэн,77
*хъуар,77
*хуат,77
*экIыну,77
къыщыщI*,77
къыздэ*,77
*ышхуэм,76
узэ*,76
сыно*,76
*ращи,76
*джэ,76
*щIэхэм,76
сы*рэ,76
зэтри*,76
езы*,76
къэ*щ,76
*эшхуэ,76
сыте*,76
*кIакъым,76
*лъщ,76
*эжам,76
*агъуу,76
*эгъуащ,76
къазэры*,76
къа*ым,75
къэ*ащ,75
къытхуи*,75
къызди*,75
сы*ми,75
*жьауэ,75
*зыр,75
*ури,75
*тэкъэ,75
*жьри,75
Д*,75
зэпэ*,75
къэ*къым,75
зыща*,75
къы*хьащ,75
къахэ*,75
Къу*,75
бгъэдэ*,75
тет*,75
*экIыр,75
къ*хэми,75
сыкъыщI*,75
къы*ын,74
*ащэрэт,74
*рей,74
*хун,74
*ищым,74
у*ыр,74
загъэ*,74
*ыфын,74
кIэры*,74
къыт*у,74
къы*ати,74
ирихь*,74
къащ*,74
у*эну,74
*лIэу,74
къ*хьауэ,74
сыкъ*ри,74
къыщI*ри,74
къ*щIа,74
сы*эу,74
теп*,74
къре*,73
яри*,73
*ыхь,73
*хьым,73
*хъур,73
За*,73
*хьэми,73
сы*ар,73
*там,73
Къыт*,73
дыкъи*,73
п*щ,73
къ*энущ,73
*эжат,73
сфI*,73
т*ым,73
зэры*эм,73
Де*,73
яфI*,73
*кIэщ,72
*жыртэкъым,72
*нымкIэ,72
къытра*,72
къ*ыж,72
*жьар,72
*да,72
къыт*къым,72
*хьами,72
къыщыт*,72
*щIырт,72
Ди*,72
яте*,72
къыIэщI*,72
ежь*,72
къ*хуа,72
зэIу*,72
IэщIэ*,72
п*ым,72
У*мэ,71
щы*р,71
зэрыс*,71
и*и,71
щIэс*,71
*рэщ,71
*хьащи,71
*эти,71
и*ащ,71
щы*а,71
къемы*,71
сы*а,71
тригъэ*,71
ит*,71
ды*э,71
*хуну,71
*хар,71
къ*хьар,71
Укъ*,71
дыху*,71
щI*къым,71
къыщып*,71
кIэлъ*,71
къы*эрт,70
къыдо*,70
У*щ,70
Къо*,70
Зи*,70
*пэм,70
*нкъым,70
*жмэ,70
*кIуэри,70
Умы*,70
лъы*,70
щри*,70
къэзгъэ*,70
*лъагъуу,70
къ*тэкъым,70
къып*у,70
*тын,70
*щIат,70
Щхьэ*,70
дагъэ*,70
*ыжым,70
*пщI,70
*фIэу,70
*эжрэ,70
къ*хьэу,70
КъыщI*,70
къ*арэ,70
лIы*,70
зы*э,70
къызэп*,70
хэс*,69
зэры*щ,69
*дэ,69
*нэм,69
*з,69
*нщи,69
*сэ,69
къекIу*,69
зытри*,69
*гъэкI,69
*лъэри,69
*кIыркъым,69
Хъу*,69
лэ*,69
къамы*,69
еплъ*,69
*за,69
*эгъуар,69
*эфу,69
къ*ырти,69
уигъэ*,69
къыщI*р,69
*щIакъым,68
*афэ,68
*шхуэщ,68
игъэ*у,68
къэ*ауэ,68
къа*щ,68
зы*рэ,68
укъ*мэ,68
*ыфынущ,68
къэ*и,68
укъыс*,68
ба*,68
*хъуауэ,68
*эжар,68
*эщи,68
*эфын,68
къ*ынур,68
къэ*хэм,68
Бэ*,68
фыкъы*,68
ныкъу*,68
*агъ,67
къыщы*ым,67
*шхуэхэм,67
*хъум,67
*тащ,67
*ыкIыу,67
*ныгъэ,67
сэ*,67
хуе*,67
*ыфыну,67
З*,67
*гъащIэ,67
*ынымкIэ,67
*тIри,67
*кIынщ,67
*тэр,67
*экIри,67
къ*уи,67
зэрылъ*,67
къ*энур,67
я*ащ,66
зэпи*,66
къегъэ*,66
Сы*щ,66
*ыращ,66
*жыркъым,66
щIе*,66
*укъым,66
Къыз*,66
зыхуи*,66
*агъуэ,66
къызэщI*,66
*Iу,66
зэ*э,66
*лъауэ,66
къ*ж,66
къызэрыщI*,66
*ыкIа,66
къ*эурэ,66
*гъэ,65
*хэмкIи,65
зэхуа*,65
*кIым,65
*жакъым,65
*дзэу,65
*ныгъэр,65
жьэ*,65
щыз*,65
къыкIэлъы*,65
пи*,65
зымы*,65
гъуэ*,65
т*щ,65
къ*ынкIэ,65
*арщ,65
зды*,65
щызэхэ*,65
зэрыт*,65
къысщы*,65
цIыкIу*,65
щIэмы*,65
п*къым,65
бжь*,65
гуры*,65
фи*,65
*зэ,65
*лIэн,65
*экIын,65
*лъэну,65
щI*э,65
къ*щIар,65
*хуэщ,65
къ*кIыр,65
зыфI*,65
къ*эжу,65
тес*,65
*нэр,64
*ынуи,64
*къ,64
*нырщ,64
зы*м,64
Гъэ*,64
*жыху,64
зы*ыр,64
то*,64
щ*у,64
*лIэну,64
зыхи*,64
зы*ар,64
*эжыркъым,64
*жьэри,64
щI*рэ,64
къ*щI,64
дэкIу*,64
тщI*,64
къыфIэ*,64
*кIыжащ,63
ЩIы*,63
*гъу,63
*хъуэр,63
*сри,63
хэт*,63
къыщы*м,63
къэ*мэ,63
зы*хэр,63
*щIыж,63
къы*ахэм,63
зэбгъэ*,63
*ынырщ,63
*щIэмэ,63
*эхэу,63
*лъхьа,63
укъа*,63
ихь*,63
*шар,63
*хьэжу,63
*хьэщ,63
*кIынущ,63
*лъын,63
*хьэжри,63
*э…,63
щI*ми,63
псэлъ*,63
*ыкIащ,63
ет*,63
кърихь*,63
*ынкъым,62
Къызэ*,62
*ыгъэр,62
*нэри,62
*хъуэм,62
*фынущ,62
*дауэ,62
*кIыж,62
*апIэ,62
*фынукъым,62
*эращ,62
Сыкъэ*,62
хигъэ*,62
*жынур,62
къы*жащ,62
*хьурэ,62
*пIэщ,62
зэрып*,62
къэбгъэ*,62
*эжь,62
щы*э,62
*щIрэ,62
*сам,62
*энкъым,62
къ*жу,62
щI*т,62
*ыжурэ,62
зэрыри*,61
къы*кIа,61
*агъыр,61
зэ*хэр,61
*пIэхэр,61
*фIу,61
зызы*,61
*пIэхэм,61
къызэры*ам,61
*ут,61
Iэры*,61
зэрызи*,61
*Iауэ,61
*щIами,61
На*,61
*лъхьащ,61
*ыми,61
зэрыте*,61
*лъхьэу,61
фIы*,61
сагъэ*,61
*хьэнщ,61
*кIуэхэм,61
*жьам,61
*энымкIэ,61
къ*къэ,61
къ*нкIэ,61
къ*хыу,61
кхъу*,61
тIы*,61
къ*кIауэ,61
къыкъуэ*,61
къыкIэ*,61
са*у,60
я*и,60
*ий,60
*уащ,60
*гъащ,60
къы*н,60
*щIэрэ,60
*лъэгъуа,60
*мэ-щэ,60
е*къым,60
сы*урэ,60
*Iа,60
ды*а,60
зэщIи*,60
*экъэ,60
зэрыщIэ*,60
*кIуэт,60
Псы*,60
*лъэн,60
*кIуам,60
*агъур,60
*эжынущ,60
*эжакъым,60
*щIми,60
*хуэхэм,60
хэплъ*,60
къ*хьу,60
къ*щIэ,60
ЦIы*,60
къ*эркъым,60
дэс*,59
До*,59
*акIэт,59
уемы*,59
*тIэ,59
*хи,59
*ыт,59
*кIэр,59
*си,59
умыгъэ*,59
темы*,59
*ынутэкъым,59
щI*эр,59
*кIыжыну,59
къ*ыжри,59
*фа,59
*жар,59
*тауэ,59
*уващ,59
зэдэ*,59
и*экъым,59
*къуэм,59
*лъам,59
*хьэжа,59
къ*нур,59
къ*хэмрэ,59
къыкIэлъ*,59
дэлъ*,59
щI*и,59
*экъыми,59
къ*хащ,59
къ*ыныр,59
къы*эж,59
у*эн,59
зэрамы*,58
къа*ащ,58
зэпа*,58
и*рэ,58
*лэ,58
*бэ,58
*ыжь,58
*щIэщ,58
*щIэми,58
щы*къым,58
*ншэщ,58
зегъэ*,58
Сы*къым,58
къы*ж,58
бэ*,58
щ*кIэ,58
*щIмэ,58
*уа,58
фы*у,58
къыс*ри,58
зыщIи*,58
т*къым,58
*уу,58
*эту,58
щIо*,58
и*э,58
къыхуэ*ым,58
*хъуэри,58
къэхъу*,58
щI*ащ,58
хузэфI*,58
текIу*,58
пхъ*,58
тхы*,58
*тэн,58
къы*хьар,58
къы*кIащ,57
*-*у,57
*къу,57
*акIуэ,57
*ныгъэм,57
IэфI*,57
къэ*рэ,57
Дызэ*,57
дыщызэ*,57
къезы*,57
къыщIа*,57
*кIынур,57
*лъхьэри,57
щ*щ,57
къы*ти,57
хуэ*щ,57
*уну,57
*хьамэ,57
пхы*,57
*сын,57
къы*кIыу,57
*ыхьа,57
лъ*у,57
*эхэмкIэ,57
*хуэт,57
сы*…,57
фэ*,57
щI*ым,57
къызэрыт*,57
щы*ри,56
*-*,56
*м…,56
*щIэнур,56
*лъагъур,56
Лъ*,56
фе*,56
у*ну,56
къыщо*,56
*жам,56
Ба*,56
щыщIэ*,56
ху*ым,56
къы*ари,56
*ахэми,56
къысте*,56
гуа*,56
къыпы*,56
*хъун,56
*нащ,56
*къуащ,56
лъ*щ,56
зыIэщI*,56
сыкIу*,56
иримы*,56
Iэп*,56
тлъ*,56
*щым,55
*хуакъым,55
е*у,55
къахуи*,55
зыс*,55
сыхэ*,55
*пIи,55
*шхуи,55
*ыншэу,55
*ыфэ,55
*я,55
*бзэ,55
*хурэ,55
*тар,55
*ыр…,55
мэ*ри,55
*Iуэ,55
къыщыху*,55
ныб*,55
*жыным,55
*дзэри,55
сыкъыщы*,55
*шэу,55
*хьмэ,55
къы*рти,55
*дащ,55
дэп*,55
щIигъэ*,55
зызгъэ*,55
*хъэ,55
къэ*хэр,55
*хъури,55
*хыжащ,55
*агъуну,55
тхьэ*,55
*хуэхэр,55
къ*-,55
*лъар,55
Уа*,55
*лъэрт,55
къихь*,55
зэ*ащ,54
*ыгъуэр,54
къи*у,54
*шауэ,54
*щыр,54
*нуи,54
ис*,54
*ыжкъым,54
*ыжар,54
*щри,54
сы*и,54
гуэ*,54
*ххэу,54
уагъэ*,54
*кIэу,54
*хьэжыну,54
*кIами,54
*эгъуауэ,54
*экIым,54
*хьэурэ,54
*эжурэ,54
*хъуну,54
къ*ыжыну,54
къ*хуащ,54
щI*хэр,54
хущI*,54
къ*хри,54
къызэрыху*,54
къ*эми,54
*ыхьащ,54
с*щ,53
*ыгъуэм,53
*дз,53
*лъи,53
*тщ,53
*кIу,53
*фIыр,53
*адэ,53
къэ*т,53
у*къэ,53
къызэры*м,53
*жынукъым,53
къы*уэ,53
ядэ*,53
сы*рт,53
сыбгъэ*,53
у*н,53
щыте*,53
къы*ынур,53
*пIэри,53
нэ*щ,53
къысфI*,53
ЦIыху*,53
къызэрып*,53
Сыщы*,53
къэплъ*,53
адыгэ*,53
и*…,53
*эдащ,53
къа*э,53
*кIуэхэр,53
*атэ,53
къ*щIащ,53
къ*хьам,53
хэлъ*,53
хъ*,53
къ*эжа,53
къ*эжын,53
къ*эхэм,53
Iуэ*,53
Сэ*,53
хуигъэ*,53
укъыщI*,53
яIэщI*,53
зэ*рт,52
*кIэт,52
*нэу,52
*лI,52
*кум,52
*псыр,52
*фыр,52
*хьахэм,52
*рати,52
*тIу,52
е*ри,52
къыза*,52
дра*,52
ху*щ,52
зэ*къым,52
*ч,52
*дзауэ,52
удэ*,52
щIагъэ*,52
*акIэщ,52
*хущ,52
ныкъуэ*,52
я*экъым,52
къызэрыщы*,52
*мэр,52
*хьэхэм,52
къызэщIэ*,52
къ*хуу,52
щI*хэм,52
къехъу*,52
къыщI*у,52
зыкъы*,52
илъэ*,52
*экIырт,52
къ*хуар,52
къ*нщ,52
къ*кIыну,52
къыпщы*,52
*агъым,51
къы*энур,51
щы*ми,51
къезгъэ*,51
мы*ми,51
*жьщ,51
*шыр,51
*фIым,51
*р-щэ,51
*жьэр,51
*дза,51
къуи*,51
*факъым,51
щы*ащ,51
*лъэт,51
у*амэ,51
в*,51
тре*,51
щэ*,51
*Iэт,51
сыкъ*щ,51
мыхъу*,51
*хьэркъым,51
къыщызэ*,51
къыпхуи*,51
*лъагъуэ,51
зыха*,51
тхылъ*,51
*щIэжу,51
*лIар,51
*экIар,51
*эфыну,51
зыкъ*ри,51
щI*м,51
щI*мэ,51
У*э,51
сыкъ*къым,51
къ*ха,51
къ*эт,51
блэ*,51
къыщхьэ*,51
къ*энщ,51
къ*эжыну,51
къ*кIар,51
кIы*,51
къа*а,50
